# R_ang  theta_rad  Veff_hartree
    1.500000   0.04958315  9.1366562314746238e+02
    1.500000   0.11381403  5.1448911783667586e+02
    1.500000   0.17842421  2.1152942262635497e+02
    1.500000   0.24312010  7.2984777095810145e+01
    1.500000   0.30784849  2.3474492578658722e+01
    1.500000   0.37259260  7.7372101842627989e+00
    1.500000   0.43734549  2.9542721757834012e+00
    1.500000   0.50210377  1.4693609877606768e+00
    1.500000   0.56686560  9.4369392323666523e-01
    1.500000   0.63162987  6.9913676633146893e-01
    1.500000   0.69639591  5.4635618382566509e-01
    1.500000   0.76116325  4.3352697538219631e-01
    1.500000   0.82593158  3.4550761144186520e-01
    1.500000   0.89070068  2.7630585660670104e-01
    1.500000   0.95547037  2.2215331277476527e-01
    1.500000   1.02024053  1.8001884502644655e-01
    1.500000   1.08501108  1.4738120793547405e-01
    1.500000   1.14978193  1.2220522766777922e-01
    1.500000   1.21455301  1.0290651793025618e-01
    1.500000   1.27932429  8.8289728494121658e-02
    1.500000   1.34409571  7.7478100267288727e-02
    1.500000   1.40886724  6.9848390908580318e-02
    1.500000   1.47363885  6.4977846081818197e-02
    1.500000   1.53841049  6.2605104161469041e-02
    1.500000   1.60318216  6.2604717481684710e-02
    1.500000   1.66795381  6.4974363228718288e-02
    1.500000   1.73272541  6.9834005159084112e-02
    1.500000   1.79749694  7.7436735078858954e-02
    1.500000   1.86226837  8.8191387115834921e-02
    1.500000   1.92703964  1.0269684672103523e-01
    1.500000   1.99181073  1.2178657976593596e-01
    1.500000   2.05658157  1.4657809250405124e-01
    1.500000   2.12135212  1.7851394847770333e-01
    1.500000   2.18612229  2.1936669082642063e-01
    1.500000   2.25089198  2.7116152752219519e-01
    1.500000   2.31566107  3.3597071952250174e-01
    1.500000   2.38042940  4.1565888714764171e-01
    1.500000   2.44519674  5.1232200591144972e-01
    1.500000   2.50996278  6.3285144354787759e-01
    1.500000   2.57472706  8.1093200349018413e-01
    1.500000   2.63948889  1.1943439584576514e+00
    1.500000   2.70424717  2.3618778577567729e+00
    1.500000   2.76900006  6.4048659758372626e+00
    1.500000   2.83374417  2.0344542972076180e+01
    1.500000   2.89847256  6.5378689620354180e+01
    1.500000   2.96316844  1.9306061665910073e+02
    1.500000   3.02777863  4.7341851483872887e+02
    1.500000   3.09200950  8.4242477601010330e+02
    1.550000   0.04958315  3.4308424642823650e+02
    1.550000   0.11381403  2.1257505889497000e+02
    1.550000   0.17842421  9.9240185922580224e+01
    1.550000   0.24312010  3.8972408692239092e+01
    1.550000   0.30784849  1.4235795794337692e+01
    1.550000   0.37259260  5.3617108229678907e+00
    1.550000   0.43734549  2.3413822443469416e+00
    1.550000   0.50210377  1.2825008571467145e+00
    1.550000   0.56686560  8.5450997276167895e-01
    1.550000   0.63162987  6.3381323212353069e-01
    1.550000   0.69639591  4.9080332993711845e-01
    1.550000   0.76116325  3.8571684624947988e-01
    1.550000   0.82593158  3.0494116523866605e-01
    1.550000   0.89070068  2.4225175599118931e-01
    1.550000   0.95547037  1.9365528367108897e-01
    1.550000   1.02024053  1.5609428706204778e-01
    1.550000   1.08501108  1.2713928970368493e-01
    1.550000   1.14978193  1.0488632057629144e-01
    1.550000   1.21455301  8.7878981776079390e-02
    1.550000   1.27932429  7.5029588471569458e-02
    1.550000   1.34409571  6.5544866719045261e-02
    1.550000   1.40886724  5.8862609691619737e-02
    1.550000   1.47363885  5.4602026410831457e-02
    1.550000   1.53841049  5.2527880240856417e-02
    1.550000   1.60318216  5.2527387020895482e-02
    1.550000   1.66795381  5.4598716449372968e-02
    1.550000   1.73272541  5.8850323908609919e-02
    1.550000   1.79749694  6.5510896661214568e-02
    1.550000   1.86226837  7.4950172997010872e-02
    1.550000   1.92703964  8.7710992595012374e-02
    1.550000   1.99181073  1.0455219089338492e-01
    1.550000   2.05658157  1.2649956319596500e-01
    1.550000   2.12135212  1.5489692864159138e-01
    1.550000   2.18612229  1.9144037046995241e-01
    1.550000   2.25089198  2.3816846060531674e-01
    1.550000   2.31566107  2.9738795627926740e-01
    1.550000   2.38042940  3.7161565378152006e-01
    1.550000   2.44519674  4.6409384963010625e-01
    1.550000   2.50996278  5.8223549090914661e-01
    1.550000   2.57472706  7.5251598953689158e-01
    1.550000   2.63948889  1.0751679600358406e+00
    1.550000   2.70424717  1.9069768343569797e+00
    1.550000   2.76900006  4.4234686586413643e+00
    1.550000   2.83374417  1.2157821100904100e+01
    1.550000   2.89847256  3.4331251574337479e+01
    1.550000   2.96316844  8.9189984345140573e+01
    1.550000   3.02777863  1.9304662891834056e+02
    1.550000   3.09200950  3.1283136748839121e+02
    1.600000   0.04958315  1.4101336489194327e+02
    1.600000   0.11381403  9.3887749001559612e+01
    1.600000   0.17842421  4.8591952698678774e+01
    1.600000   0.24312010  2.1409291017623861e+01
    1.600000   0.30784849  8.8373444430835590e+00
    1.600000   0.37259260  3.7902411516985248e+00
    1.600000   0.43734549  1.8687183813472499e+00
    1.600000   0.50210377  1.1083929328272462e+00
    1.600000   0.56686560  7.6133899263048455e-01
    1.600000   0.63162987  5.6644304987071781e-01
    1.600000   0.69639591  4.3611316212166362e-01
    1.600000   0.76116325  3.4033650337158478e-01
    1.600000   0.82593158  2.6736255644207391e-01
    1.600000   0.89070068  2.1122227686080131e-01
    1.600000   0.95547037  1.6799798378753683e-01
    1.600000   1.02024053  1.3475726051509065e-01
    1.600000   1.08501108  1.0923046824274504e-01
    1.600000   1.14978193  8.9672058845085514e-02
    1.600000   1.21455301  7.4762430630438290e-02
    1.600000   1.27932429  6.3522810913672789e-02
    1.600000   1.34409571  5.5242026096343474e-02
    1.600000   1.40886724  4.9416979546350215e-02
    1.600000   1.47363885  4.5707176307031763e-02
    1.600000   1.53841049  4.3902342452678919e-02
    1.600000   1.60318216  4.3901738074411847e-02
    1.600000   1.66795381  4.5703926794851787e-02
    1.600000   1.73272541  4.9406246359467366e-02
    1.600000   1.79749694  5.5213809448736544e-02
    1.600000   1.86226837  6.3458384135845439e-02
    1.600000   1.92703964  7.4627763212669215e-02
    1.600000   1.99181073  8.9405913999158593e-02
    1.600000   2.05658157  1.0872277895756428e-01
    1.600000   2.12135212  1.3380935022654264e-01
    1.600000   2.18612229  1.6624816977739304e-01
    1.600000   2.25089198  2.0800406497288962e-01
    1.600000   2.31566107  2.6142866116855989e-01
    1.600000   2.38042940  3.2930963583605594e-01
    1.600000   2.44519674  4.1536735896279620e-01
    1.600000   2.50996278  5.2677111466422999e-01
    1.600000   2.57472706  6.8398027848342968e-01
    1.600000   2.63948889  9.5424245902652638e-01
    1.600000   2.70424717  1.5547116023388383e+00
    1.600000   2.76900006  3.1383093338458985e+00
    1.600000   2.83374417  7.4703341746512253e+00
    1.600000   2.89847256  1.8572656601832406e+01
    1.600000   2.96316844  4.2992172604080380e+01
    1.600000   3.02777863  8.4044041220950248e+01
    1.600000   3.09200950  1.2690666733777989e+02
    1.650000   0.04958315  6.2692454448196798e+01
    1.650000   0.11381403  4.4205950259486158e+01
    1.650000   0.17842421  2.4971051475830549e+01
    1.650000   0.24312010  1.2220089305778837e+01
    1.650000   0.30784849  5.6706995999368601e+00
    1.650000   0.37259260  2.7479351481602050e+00
    1.650000   0.43734549  1.5050540892954649e+00
    1.650000   0.50210377  9.5183573882264261e-01
    1.650000   0.56686560  6.7030799367930749e-01
