# R_ang  theta_rad  Veff_hartree
    1.500000   0.04958315  6.9945013509321871e+02
    1.500000   0.11381403  3.9128725502107699e+02
    1.500000   0.17842421  1.5755032643456499e+02
    1.500000   0.24312010  5.2122054591540156e+01
    1.500000   0.30784849  1.5735416563962380e+01
    1.500000   0.37259260  4.8825119995053887e+00
    1.500000   0.43734549  1.8993356519853584e+00
    1.500000   0.50210377  1.0825127278669742e+00
    1.500000   0.56686560  8.0659986725092059e-01
    1.500000   0.63162987  6.5495994255386780e-01
    1.500000   0.69639591  5.3572520092723130e-01
    1.500000   0.76116325  4.3402942534827327e-01
    1.500000   0.82593158  3.4889924274106110e-01
    1.500000   0.89070068  2.7976599790180073e-01
    1.500000   0.95547037  2.2489139087152779e-01
    1.500000   1.02024053  1.8195801818957430e-01
    1.500000   1.08501108  1.4865758901825041e-01
    1.500000   1.14978193  1.2298753547406822e-01
    1.500000   1.21455301  1.0333956352230221e-01
    1.500000   1.27932429  8.8483582817175888e-02
    1.500000   1.34409571  7.7512319745958222e-02
    1.500000   1.40886724  6.9779807496428148e-02
    1.500000   1.47363885  6.4848061012153582e-02
    1.500000   1.53841049  6.2446798683991868e-02
    1.500000   1.60318216  6.2447010570469356e-02
    1.500000   1.66795381  6.4847862672575224e-02
    1.500000   1.73272541  6.9776394867311145e-02
    1.500000   1.79749694  7.7499915329663244e-02
    1.500000   1.86226837  8.8451402538983301e-02
    1.500000   1.92703964  1.0326806607859750e-01
    1.500000   1.99181073  1.2284162732972391e-01
    1.500000   2.05658157  1.4837424744120917e-01
    1.500000   2.12135212  1.8142341567355513e-01
    1.500000   2.18612229  2.2389779084770101e-01
    1.500000   2.25089198  2.7792866983609615e-01
    1.500000   2.31566107  3.4549214051075344e-01
    1.500000   2.38042940  4.2765071351144363e-01
    1.500000   2.44519674  5.2359435743415328e-01
    1.500000   2.50996278  6.3138783096525153e-01
    1.500000   2.57472706  7.5952930773766625e-01
    1.500000   2.63948889  9.8537380598405067e-01
