# R_ang  theta_rad  Veff_hartree
    1.500000   0.04958315  8.7148002722610477e+02
    1.500000   0.11381403  4.9027388570704647e+02
    1.500000   0.17842421  2.0073386786179398e+02
    1.500000   0.24312010  6.8596868259753734e+01
    1.500000   0.30784849  2.1698989284308741e+01
    1.500000   0.37259260  6.9959038373161393e+00
    1.500000   0.43734549  2.6314717800210201e+00
    1.500000   0.50210377  1.3227105495126890e+00
    1.500000   0.56686560  8.7443525816932022e-01
    1.500000   0.63162987  6.6530556167601840e-01
    1.500000   0.69639591  5.2935711688536502e-01
    1.500000   0.76116325  4.2479044653142056e-01
    1.500000   0.82593158  3.4094164813423017e-01
    1.500000   0.89070068  2.7389403814948554e-01
    1.500000   0.95547037  2.2087432944721830e-01
    1.500000   1.02024053  1.7934312765180602e-01
    1.500000   1.08501108  1.4702878238785541e-01
    1.500000   1.14978193  1.2202581338477705e-01
    1.500000   1.21455301  1.0281859667259233e-01
    1.500000   1.27932429  8.8248860754188488e-02
    1.500000   1.34409571  7.7460123924479624e-02
    1.500000   1.40886724  6.9840380898228208e-02
    1.500000   1.47363885  6.4973230272635046e-02
    1.500000   1.53841049  6.2601088583759554e-02
    1.500000   1.60318216  6.2601086226431360e-02
    1.500000   1.66795381  6.4973223624069876e-02
    1.500000   1.73272541  6.9840371387480088e-02
    1.500000   1.79749694  7.7460114510626482e-02
    1.500000   1.86226837  8.8248856977042239e-02
    1.500000   1.92703964  1.0281860856095582e-01
    1.500000   1.99181073  1.2202585884722983e-01
    1.500000   2.05658157  1.4702889324981089e-01
    1.500000   2.12135212  1.7934336052447139e-01
    1.500000   2.18612229  2.2087478560361856e-01
    1.500000   2.25089198  2.7389490055003923e-01
    1.500000   2.31566107  3.4094325185309465e-01
    1.500000   2.38042940  4.2479341583881181e-01
    1.500000   2.44519674  5.2936263886405999e-01
    1.500000   2.50996278  6.6531594729515608e-01
    1.500000   2.57472706  8.7445512583889162e-01
    1.500000   2.63948889  1.3227493937236410e+00
    1.500000   2.70424717  2.6315496924279729e+00
    1.500000   2.76900006  6.9960644734697537e+00
    1.500000   2.83374417  2.1699329090883086e+01
    1.500000   2.89847256  6.8597598014692892e+01
    1.500000   2.96316844  2.0073541127981687e+02
    1.500000   3.02777863  4.9027688222493606e+02
    1.500000   3.09200950  8.7148473647510559e+02
    1.550000   0.04958315  3.2520604091937065e+02
    1.550000   0.11381403  2.0108304609366635e+02
    1.550000   0.17842421  9.3373030500363726e+01
    1.550000   0.24312010  3.6294812133444552e+01
    1.550000   0.30784849  1.3054877100426578e+01
    1.550000   0.37259260  4.8377214893826990e+00
    1.550000   0.43734549  2.1033456283622352e+00
    1.550000   0.50210377  1.1711371193800222e+00
    1.550000   0.56686560  8.0083567261630295e-01
    1.550000   0.63162987  6.0722399458343523e-01
    1.550000   0.69639591  4.7731394737365834e-01
