# R_ang  theta_rad  Veff_hartree
    1.500000   0.04958315  8.7978699563538976e+02
    1.500000   0.11381403  4.9503227712410671e+02
    1.500000   0.17842421  2.0280430363105094e+02
    1.500000   0.24312010  6.9388602718653274e+01
    1.500000   0.30784849  2.1988013441852704e+01
    1.500000   0.37259260  7.0999833468865878e+00
    1.500000   0.43734549  2.6685373874141090e+00
    1.500000   0.50210377  1.3355006791897364e+00
    1.500000   0.56686560  8.7847856624124288e-01
    1.500000   0.63162987  6.6628255069622888e-01
    1.500000   0.69639591  5.2934137374774337e-01
    1.500000   0.76116325  4.2452092567614369e-01
    1.500000   0.82593158  3.4066361380835075e-01
    1.500000   0.89070068  2.7367398047323943e-01
    1.500000   0.95547037  2.2071798544974722e-01
    1.500000   1.02024053  1.7923888433013027e-01
    1.500000   1.08501108  1.4696275787241186e-01
    1.500000   1.14978193  1.2198636453651111e-01
    1.500000   1.21455301  1.0279707146793303e-01
    1.500000   1.27932429  8.8239177115991982e-02
    1.500000   1.34409571  7.7458109802732586e-02
    1.500000   1.40886724  6.9843177576968063e-02
    1.500000   1.47363885  6.4978826056901667e-02
    1.500000   1.53841049  6.2607969477372044e-02
    1.500000   1.60318216  6.2607967087287317e-02
    1.500000   1.66795381  6.4978819315215305e-02
    1.500000   1.73272541  6.9843167930114872e-02
    1.500000   1.79749694  7.7458100245787587e-02
    1.500000   1.86226837  8.8239173256178832e-02
    1.500000   1.92703964  1.0279708345604725e-01
    1.500000   1.99181073  1.2198641049880068e-01
    1.500000   2.05658157  1.4696287002050731e-01
    1.500000   2.12135212  1.7923911996072930e-01
    1.500000   2.18612229  2.2071844705856294e-01
    1.500000   2.25089198  2.7367485322147062e-01
    1.500000   2.31566107  3.4066523678272287e-01
    1.500000   2.38042940  4.2452393058333815e-01
    1.500000   2.44519674  5.2934696172573237e-01
    1.500000   2.50996278  6.6629305988948095e-01
    1.500000   2.57472706  8.7849866896158546e-01
    1.500000   2.63948889  1.3355399798645156e+00
    1.500000   2.70424717  2.6686162085461813e+00
    1.500000   2.76900006  7.1001458424645021e+00
    1.500000   2.83374417  2.1988357156820946e+01
    1.500000   2.89847256  6.9389340842463653e+01
    1.500000   2.96316844  2.0280586480985940e+02
    1.500000   3.02777863  4.9503530851201367e+02
    1.500000   3.09200950  8.7979176044069288e+02
    1.550000   0.04958315  3.2876299683979431e+02
    1.550000   0.11381403  2.0334952312585159e+02
    1.550000   0.17842421  9.4498050152210169e+01
    1.550000   0.24312010  3.6779499897053498e+01
    1.550000   0.30784849  1.3249836495762841e+01
    1.550000   0.37259260  4.9136853251610493e+00
    1.550000   0.43734549  2.1323377396311520e+00
    1.550000   0.50210377  1.1818854349175791e+00
    1.550000   0.56686560  8.0458479435858221e-01
    1.550000   0.63162987  6.0834952859783131e-01
    1.550000   0.69639591  4.7750723354003793e-01
    1.550000   0.76116325  3.7864139231418464e-01
    1.550000   0.82593158  3.0112270193646901e-01
    1.550000   0.89070068  2.4017284406063791e-01
    1.550000   0.95547037  1.9252015527484223e-01
    1.550000   1.02024053  1.5547695823789071e-01
    1.550000   1.08501108  1.2680780482463733e-01
    1.550000   1.14978193  1.0471267525248172e-01
    1.550000   1.21455301  8.7791863620583790e-02
    1.550000   1.27932429  7.4989059505836425e-02
    1.550000   1.34409571  6.5528555377612541e-02
    1.550000   1.40886724  5.8858077164405144e-02
    1.550000   1.47363885  5.4602524951939346e-02
    1.550000   1.53841049  5.2530035021962865e-02
    1.550000   1.60318216  5.2530033240759236e-02
    1.550000   1.66795381  5.4602519938104735e-02
    1.550000   1.73272541  5.8858070032117960e-02
    1.550000   1.79749694  6.5528548437568043e-02
    1.550000   1.86226837  7.4989057090254496e-02
    1.550000   1.92703964  8.7791873579262047e-02
    1.550000   1.99181073  1.0471271160503853e-01
    1.550000   2.05658157  1.2680789246707239e-01
    1.550000   2.12135212  1.5547714137771249e-01
    1.550000   2.18612229  1.9252051276196216e-01
    1.550000   2.25089198  2.4017351771406825e-01
    1.550000   2.31566107  3.0112394984796359e-01
    1.550000   2.38042940  3.7864369114660651e-01
    1.550000   2.44519674  4.7751147896372304e-01
    1.550000   2.50996278  6.0835743638213413e-01
    1.550000   2.57472706  8.0459971944290054e-01
    1.550000   2.63948889  1.1819140731237119e+00
    1.550000   2.70424717  2.1323936977346740e+00
    1.550000   2.76900006  4.9137965569738657e+00
    1.550000   2.83374417  1.3250060092334531e+01
    1.550000   2.89847256  3.6779947466797552e+01
    1.550000   2.96316844  9.4498913001226654e+01
    1.550000   3.02777863  2.0335102822559466e+02
    1.550000   3.09200950  3.2876516070569073e+02
    1.600000   0.04958315  1.3435533625261357e+02
    1.600000   0.11381403  8.9246169814212266e+01
    1.600000   0.17842421  4.5951969829942392e+01
    1.600000   0.24312010  2.0069596634731219e+01
    1.600000   0.30784849  8.1891360432296043e+00
    1.600000   0.37259260  3.4792947675739638e+00
    1.600000   0.43734549  1.7178823309298754e+00
    1.600000   0.50210377  1.0337648299806350e+00
    1.600000   0.56686560  7.2358272589812878e-01
    1.600000   0.63162987  5.4692252731544111e-01
    1.600000   0.69639591  4.2582377884250888e-01
