# R_ang  theta_rad  Veff_hartree
    1.500000   0.04958315  8.7524114345249563e+02
    1.500000   0.11381403  4.9242853699002183e+02
    1.500000   0.17842421  2.0167147809211366e+02
    1.500000   0.24312010  6.8955435646069304e+01
    1.500000   0.30784849  2.1829890549483128e+01
    1.500000   0.37259260  7.0430434297127862e+00
    1.500000   0.43734549  2.6482597772573175e+00
    1.500000   0.50210377  1.3285036243520998e+00
    1.500000   0.56686560  8.7626664623800377e-01
    1.500000   0.63162987  6.6574810842345344e-01
    1.500000   0.69639591  5.2935001240245338e-01
    1.500000   0.76116325  4.2466838919140426e-01
    1.500000   0.82593158  3.4081572863541310e-01
    1.500000   0.89070068  2.7379437404527079e-01
    1.500000   0.95547037  2.2080352062984718e-01
    1.500000   1.02024053  1.7929591514855092e-01
    1.500000   1.08501108  1.4699887925780636e-01
    1.500000   1.14978193  1.2200794646735930e-01
    1.500000   1.21455301  1.0280884744332980e-01
    1.500000   1.27932429  8.8244474613345211e-02
    1.500000   1.34409571  7.7459211330073774e-02
    1.500000   1.40886724  6.9841647124753006e-02
    1.500000   1.47363885  6.4975764216013948e-02
    1.500000   1.53841049  6.2604204551006737e-02
    1.500000   1.60318216  6.2604202173808951e-02
    1.500000   1.66795381  6.4975757509468587e-02
    1.500000   1.73272541  6.9841637523449296e-02
    1.500000   1.79749694  7.7459201804619487e-02
    1.500000   1.86226837  8.8244470725206872e-02
    1.500000   1.92703964  1.0280885926045712e-01
    1.500000   1.99181073  1.2200799196776978e-01
    1.500000   2.05658157  1.4699899038872521e-01
    1.500000   2.12135212  1.7929614873372354e-01
    1.500000   2.18612229  2.2080397831263543e-01
    1.500000   2.25089198  2.7379523943253820e-01
    1.500000   2.31566107  3.4081733793398178e-01
    1.500000   2.38042940  4.2467136866508637e-01
    1.500000   2.44519674  5.2935555265459799e-01
    1.500000   2.50996278  6.6575852663445245e-01
    1.500000   2.57472706  8.7628657165179313e-01
    1.500000   2.63948889  1.3285425697031785e+00
    1.500000   2.70424717  2.6483378620951736e+00
    1.500000   2.76900006  7.0432043405632552e+00
    1.500000   2.83374417  2.1830230716947280e+01
    1.500000   2.89847256  6.8956165572020666e+01
    1.500000   2.96316844  2.0167302030289412e+02
    1.500000   3.02777863  4.9243152784733621e+02
    1.500000   3.09200950  8.7524583966589944e+02
    1.550000   0.04958315  3.2681659543792387e+02
    1.550000   0.11381403  2.0210935382309151e+02
    1.550000   0.17842421  9.3882502029554004e+01
    1.550000   0.24312010  3.6514319148286987e+01
    1.550000   0.30784849  1.3143174592868572e+01
    1.550000   0.37259260  4.8721265672965712e+00
    1.550000   0.43734549  2.1164767938193587e+00
    1.550000   0.50210377  1.1760053396448964e+00
    1.550000   0.56686560  8.0253378658287344e-01
    1.550000   0.63162987  6.0773380680959677e-01
    1.550000   0.69639591  4.7740151013255289e-01
    1.550000   0.76116325  3.7869461493706719e-01
    1.550000   0.82593158  3.0120770256673524e-01
    1.550000   0.89070068  2.4024843373343494e-01
    1.550000   0.95547037  1.9257686341842742e-01
    1.550000   1.02024053  1.5551594413835848e-01
    1.550000   1.08501108  1.2683294362465586e-01
    1.550000   1.14978193  1.0472782523456872e-01
    1.550000   1.21455301  8.7800110913916402e-02
    1.550000   1.27932429  7.4992666003447797e-02
    1.550000   1.34409571  6.5529116217667008e-02
    1.550000   1.40886724  5.8856708253323516e-02
    1.550000   1.47363885  5.4600024994477157e-02
    1.550000   1.53841049  5.2527013431482222e-02
    1.550000   1.60318216  5.2527011659805875e-02
    1.550000   1.66795381  5.4600020006502534e-02
    1.550000   1.73272541  5.8856701154046891e-02
    1.550000   1.79749694  6.5529109298776825e-02
    1.550000   1.86226837  7.4992663561562090e-02
    1.550000   1.92703964  8.7800120734286558e-02
    1.550000   1.99181073  1.0472786122124468e-01
    1.550000   2.05658157  1.2683303046751190e-01
    1.550000   2.12135212  1.5551612567658091e-01
    1.550000   2.18612229  1.9257721783953172e-01
    1.550000   2.25089198  2.4024910165260038e-01
    1.550000   2.31566107  3.0120893985668440e-01
    1.550000   2.38042940  3.7869689409763152e-01
    1.550000   2.44519674  4.7740571885981176e-01
    1.550000   2.50996278  6.0774164523169139e-01
    1.550000   2.57472706  8.0254857814569303e-01
    1.550000   2.63948889  1.1760337149711027e+00
    1.550000   2.70424717  2.1165322209389346e+00
    1.550000   2.76900006  4.8722366978535314e+00
    1.550000   2.83374417  1.3143395853505377e+01
    1.550000   2.89847256  3.6514761722797800e+01
    1.550000   2.96316844  9.3883354488118684e+01
    1.550000   3.02777863  2.0211083937397834e+02
    1.550000   3.09200950  3.2681872960787513e+02
    1.600000   0.04958315  1.3344786091992157e+02
    1.600000   0.11381403  8.8623192730916713e+01
    1.600000   0.17842421  4.5610557554915438e+01
    1.600000   0.24312010  1.9907579589340283e+01
    1.600000   0.30784849  8.1182905738566262e+00
    1.600000   0.37259260  3.4496816976615428e+00
    1.600000   0.43734549  1.7058614857456587e+00
    1.600000   0.50210377  1.0290294868585279e+00
    1.600000   0.56686560  7.2180517697535618e-01
    1.600000   0.63162987  5.4631811662616758e-01
    1.600000   0.69639591  4.2566592840858369e-01
    1.600000   0.76116325  3.3482363292239725e-01
    1.600000   0.82593158  2.6441716505882285e-01
    1.600000   0.89070068  2.0963633974742246e-01
    1.600000   0.95547037  1.6714199510751684e-01
    1.600000   1.02024053  1.3429709750364238e-01
    1.600000   1.08501108  1.0898601488204322e-01
    1.600000   1.14978193  8.9545025822132376e-02
    1.600000   1.21455301  7.4698728354471278e-02
    1.600000   1.27932429  6.3492558392238413e-02
    1.600000   1.34409571  5.5228752303659971e-02
    1.600000   1.40886724  4.9411717061153097e-02
    1.600000   1.47363885  4.5705219319655141e-02
    1.600000   1.53841049  4.3901503720032660e-02
    1.600000   1.60318216  4.3901502420115986e-02
    1.600000   1.66795381  4.5705215670768559e-02
    1.600000   1.73272541  4.9411711911633016e-02
    1.600000   1.79749694  5.5228747415151172e-02
    1.600000   1.86226837  6.3492557071216926e-02
    1.600000   1.92703964  7.4698736595237084e-02
    1.600000   1.99181073  8.9545054327471563e-02
    1.600000   2.05658157  1.0898608263511995e-01
    1.600000   2.12135212  1.3429723813615335e-01
    1.600000   2.18612229  1.6714226839393770e-01
    1.600000   2.25089198  2.0963685265093321e-01
    1.600000   2.31566107  2.6441811086926947e-01
    1.600000   2.38042940  3.3482536522452561e-01
    1.600000   2.44519674  4.2566910314670525e-01
    1.600000   2.50996278  5.4632396907341507e-01
    1.600000   2.57472706  7.2181606823856759e-01
    1.600000   2.63948889  1.0290499884020365e+00
    1.600000   2.70424717  1.7059005166679198e+00
    1.600000   2.76900006  3.4497566001397764e+00
    1.600000   2.83374417  8.1184342087393144e+00
    1.600000   2.89847256  1.9907849926146898e+01
    1.600000   2.96316844  4.5611040752826277e+01
    1.600000   3.02777863  8.8623970308956700e+01
    1.600000   3.09200950  1.3344891140954132e+02
    1.650000   0.04958315  5.8915601000083832e+01
    1.650000   0.11381403  4.1425512112740464e+01
    1.650000   0.17842421  2.3271058276582846e+01
    1.650000   0.24312010  1.1296506621577722e+01
    1.650000   0.30784849  5.1991699375098239e+00
    1.650000   0.37259260  2.5130668556189248e+00
    1.650000   0.43734549  1.3883750443699818e+00
    1.650000   0.50210377  8.9334396864790644e-01
    1.650000   0.56686560  6.4055951039021664e-01
    1.650000   0.63162987  4.8529616334429965e-01
    1.650000   0.69639591  3.7605376261702167e-01
    1.650000   0.76116325  2.9393456505203225e-01
    1.650000   0.82593158  2.3079414142296245e-01
    1.650000   0.89070068  1.8204093160452156e-01
    1.650000   0.95547037  1.4444705744271966e-01
    1.650000   1.02024053  1.1551982994860242e-01
    1.650000   1.08501108  9.3305104756690585e-02
    1.650000   1.14978193  7.6290802506189651e-02
    1.650000   1.21455301  6.3329345392928768e-02
    1.650000   1.27932429  5.3566820623685556e-02
    1.650000   1.34409571  4.6380983080431169e-02
    1.650000   1.40886724  4.1330526621350866e-02
    1.650000   1.47363885  3.8116205881953198e-02
    1.650000   1.53841049  3.6553131109571514e-02
    1.650000   1.60318216  3.6553130173710278e-02
    1.650000   1.66795381  3.8116203266228957e-02
    1.650000   1.73272541  4.1330522975040668e-02
    1.650000   1.79749694  4.6380979753211683e-02
    1.650000   1.86226837  5.3566820150802698e-02
    1.650000   1.92703964  6.3329352371424119e-02
    1.650000   1.99181073  7.6290825139151267e-02
    1.650000   2.05658157  9.3305157571478892e-02
    1.650000   2.12135212  1.1551993861580587e-01
    1.650000   2.18612229  1.4444726741019087e-01
    1.650000   2.25089198  1.8204132375553511e-01
    1.650000   2.31566107  2.3079486083682180e-01
    1.650000   2.38042940  2.9393587449987735e-01
    1.650000   2.44519674  3.7605614321295006e-01
    1.650000   2.50996278  4.8530050560243226e-01
    1.650000   2.57472706  6.4056747825434790e-01
    1.650000   2.63948889  8.9335868909558225e-01
    1.650000   2.70424717  1.3884023830877532e+00
    1.650000   2.76900006  2.5131176399843982e+00
    1.650000   2.83374417  5.1992633159909269e+00
    1.650000   2.89847256  1.1296673404806118e+01
    1.650000   2.96316844  2.3271338830213800e+01
    1.650000   3.02777863  4.1425937002394974e+01
    1.650000   3.09200950  5.8916150139152691e+01
