# R_ang  theta_rad  Veff_hartree
    1.500000   0.04958315  6.8673861528547002e+02
    1.500000   0.11381403  3.8391187353645489e+02
    1.500000   0.17842421  1.5421178828967084e+02
    1.500000   0.24312010  5.0741434426024597e+01
    1.500000   0.30784849  1.5166490452757222e+01
    1.500000   0.37259260  4.6405159076433922e+00
    1.500000   0.43734549  1.7919821491948145e+00
    1.500000   0.50210377  1.0328398652238422e+00
    1.500000   0.56686560  7.8271836853042198e-01
    1.500000   0.63162987  6.4309165802541068e-01
    1.500000   0.69639591  5.2966264800085838e-01
    1.500000   0.76116325  4.3086452266174485e-01
    1.500000   0.82593158  3.4722070114392556e-01
    1.500000   0.89070068  2.7886721832236827e-01
    1.500000   0.95547037  2.2440887800036929e-01
    1.500000   1.02024053  1.8170042106022602e-01
    1.500000   1.08501108  1.4852224715385096e-01
    1.500000   1.14978193  1.2291854972807040e-01
    1.500000   1.21455301  1.0330617923757776e-01
    1.500000   1.27932429  8.8468788144184046e-02
    1.500000   1.34409571  7.7506713896715804e-02
    1.500000   1.40886724  6.9778254648921081e-02
    1.500000   1.47363885  6.4847855245196054e-02
    1.500000   1.53841049  6.2446677640338233e-02
    1.500000   1.60318216  6.2446677105710252e-02
    1.500000   1.66795381  6.4847853737883973e-02
    1.500000   1.73272541  6.9778252494888227e-02
    1.500000   1.79749694  7.7506711770951781e-02
    1.500000   1.86226837  8.8468787310428648e-02
    1.500000   1.92703964  1.0330618198368786e-01
    1.500000   1.99181073  1.2291856013968556e-01
    1.500000   2.05658157  1.4852227249195007e-01
    1.500000   2.12135212  1.8170047424151825e-01
    1.500000   2.18612229  2.2440898213369426e-01
    1.500000   2.25089198  2.7886741515988051e-01
    1.500000   2.31566107  3.4722106715603235e-01
    1.500000   2.38042940  4.3086520032158571e-01
    1.500000   2.44519674  5.2966390820284015e-01
    1.500000   2.50996278  6.4309402797638304e-01
    1.500000   2.57472706  7.8272290113637188e-01
    1.500000   2.63948889  1.0328487222745144e+00
    1.500000   2.70424717  1.7919998948168405e+00
    1.500000   2.76900006  4.6405524191884675e+00
    1.500000   2.83374417  1.5166567403429939e+01
    1.500000   2.89847256  5.0741598646865398e+01
    1.500000   2.96316844  1.5421213222695957e+02
    1.500000   3.02777863  3.8391253275403068e+02
    1.500000   3.09200950  6.8673963931789422e+02
    1.550000   0.04958315  2.4588639787261511e+02
    1.550000   0.11381403  1.5036392091150100e+02
    1.550000   0.17842421  6.8096334047603875e+01
    1.550000   0.24312010  2.5370361344762866e+01
    1.550000   0.30784849  8.6513133527460422e+00
    1.550000   0.37259260  3.1196126235767059e+00
    1.550000   0.43734549  1.4470402794143584e+00
    1.550000   0.50210377  9.2765884108161023e-01
    1.550000   0.56686560  7.1584607631508890e-01
    1.550000   0.63162987  5.8167544823490958e-01
    1.550000   0.69639591  4.7290012297039724e-01
    1.550000   0.76116325  3.8091939090622146e-01
    1.550000   0.82593158  3.0478327175486175e-01
    1.550000   0.89070068  2.4343204960317555e-01
    1.550000   0.95547037  1.9496653018170326e-01
    1.550000   1.02024053  1.5715937255146142e-01
    1.550000   1.08501108  1.2789301951218920e-01
    1.550000   1.14978193  1.0536700939253332e-01
    1.550000   1.21455301  8.8148426603597049e-02
    1.550000   1.27932429  7.5145431534341639e-02
    1.550000   1.34409571  6.5553555608678774e-02
    1.550000   1.40886724  5.8799846599763478e-02
    1.550000   1.47363885  5.4495516177381589e-02
    1.550000   1.53841049  5.2400531731971907e-02
    1.550000   1.60318216  5.2400531333876246e-02
    1.550000   1.66795381  5.4495515057465853e-02
    1.550000   1.73272541  5.8799845009288844e-02
    1.550000   1.79749694  6.5553554068749853e-02
    1.550000   1.86226837  7.5145431021939782e-02
    1.550000   1.92703964  8.8148428888976407e-02
    1.550000   1.99181073  1.0536701763735634e-01
    1.550000   2.05658157  1.2789303933105700e-01
    1.550000   2.12135212  1.5715941391453941e-01
    1.550000   2.18612229  1.9496661087306769e-01
    1.550000   2.25089198  2.4343220161085577e-01
    1.550000   2.31566107  3.0478355329427992e-01
