# R_ang  theta_rad  Veff_hartree
    1.500000   0.04958315  6.9734221049833582e+02
    1.500000   0.11381403  3.9007456853093959e+02
    1.500000   0.17842421  1.5702434777780766e+02
    1.500000   0.24312010  5.1924698911796021e+01
    1.500000   0.30784849  1.5666269045269333e+01
    1.500000   0.37259260  4.8593852719046824e+00
    1.500000   0.43734549  1.8921382679480709e+00
    1.500000   0.50210377  1.0806556295985179e+00
    1.500000   0.56686560  8.0642055665134260e-01
    1.500000   0.63162987  6.5522136923380292e-01
    1.500000   0.69639591  5.3603386346254434e-01
    1.500000   0.76116325  4.3427962386024327e-01
    1.500000   0.82593158  3.4907809843935955e-01
    1.500000   0.89070068  2.7988617225851209e-01
    1.500000   0.95547037  2.2496906855865628e-01
    1.500000   1.02024053  1.8200669486935669e-01
    1.500000   1.08501108  1.4868710908533678e-01
    1.500000   1.14978193  1.2300465041325236e-01
    1.500000   1.21455301  1.0334875361691184e-01
    1.500000   1.27932429  8.8487768629285535e-02
    1.500000   1.34409571  7.7513392178471571e-02
    1.500000   1.40886724  6.9778997580494606e-02
    1.500000   1.47363885  6.4846190100156756e-02
    1.500000   1.53841049  6.2444446618735341e-02
    1.500000   1.60318216  6.2444631265990376e-02
    1.500000   1.66795381  6.4845868950214075e-02
    1.500000   1.73272541  6.9775228493222111e-02
    1.500000   1.79749694  7.7500113386703456e-02
    1.500000   1.86226837  8.8453665682196869e-02
    1.500000   1.92703964  1.0327332390068859e-01
    1.500000   1.99181073  1.2285107216821929e-01
    1.500000   2.05658157  1.4838925008072332e-01
    1.500000   2.12135212  1.8144509639892270e-01
    1.500000   2.18612229  2.2392568190588605e-01
    1.500000   2.25089198  2.7795708976291900e-01
    1.500000   2.31566107  3.4550090902105224e-01
    1.500000   2.38042940  4.2758189155268861e-01
    1.500000   2.44519674  5.2329415963222314e-01
    1.500000   2.50996278  6.3046025644269765e-01
    1.500000   2.57472706  7.5696092590483366e-01
    1.500000   2.63948889  9.7855018909348834e-01
    1.500000   2.70424717  1.6731413400238986e+00
    1.500000   2.76900006  4.3694896653028543e+00
    1.500000   2.83374417  1.4523261935713556e+01
    1.500000   2.89847256  4.9171350825359639e+01
    1.500000   2.96316844  1.5041180497943211e+02
    1.500000   3.02777863  3.7555001143534031e+02
    1.500000   3.09200950  6.7240275524642698e+02
    1.550000   0.04958315  2.5038958575853002e+02
    1.550000   0.11381403  1.5329379423628342e+02
    1.550000   0.17842421  6.9625625487894226e+01
    1.550000   0.24312010  2.6090689650269663e+01
    1.550000   0.30784849  8.9816365162231104e+00
    1.550000   0.37259260  3.2727214712579760e+00
    1.550000   0.43734549  1.5198633810341364e+00
    1.550000   0.50210377  9.6334969695544981e-01
    1.550000   0.56686560  7.3385589116001537e-01
    1.550000   0.63162987  5.9100376426091539e-01
    1.550000   0.69639591  4.7783960862322217e-01
    1.550000   0.76116325  3.8358118291336668e-01
    1.550000   0.82593158  3.0623591642341003e-01
    1.550000   0.89070068  2.4423065380547351e-01
    1.550000   0.95547037  1.9540615079603624e-01
    1.550000   1.02024053  1.5739994060669521e-01
    1.550000   1.08501108  1.2802263083040813e-01
    1.550000   1.14978193  1.0543480263751544e-01
    1.550000   1.21455301  8.8182054161356549e-02
    1.550000   1.27932429  7.5160532063113961e-02
    1.550000   1.34409571  6.5558979070333950e-02
    1.550000   1.40886724  5.8800574168936089e-02
    1.550000   1.47363885  5.4494300286651053e-02
    1.550000   1.53841049  5.2398803826994113e-02
    1.550000   1.60318216  5.2398867515856609e-02
    1.550000   1.66795381  5.4493802547780697e-02
    1.550000   1.73272541  5.8797196381082814e-02
    1.550000   1.79749694  6.5547935027253243e-02
    1.550000   1.86226837  7.5132870499177051e-02
    1.550000   1.92703964  8.8121528440419358e-02
    1.550000   1.99181073  1.0531220458381994e-01
