# R_ang  theta_rad  Veff_hartree
    1.500000   0.04958315  9.0724938891214447e+02
    1.500000   0.11381403  5.1081337377893311e+02
    1.500000   0.17842421  2.0994092730259888e+02
    1.500000   0.24312010  7.2389507935251999e+01
    1.500000   0.30784849  2.3265650306674178e+01
    1.500000   0.37259260  7.6670595137665769e+00
    1.500000   0.43734549  2.9322321064283097e+00
    1.500000   0.50210377  1.4635293948743513e+00
    1.500000   0.56686560  9.4300573505168095e-01
    1.500000   0.63162987  6.9983465494627684e-01
    1.500000   0.69639591  5.4723259523782741e-01
    1.500000   0.76116325  4.3424918206319102e-01
    1.500000   0.82593158  3.4602799714667942e-01
    1.500000   0.89070068  2.7665724297228178e-01
    1.500000   0.95547037  2.2238127455828044e-01
    1.500000   1.02024053  1.8016214190681296e-01
    1.500000   1.08501108  1.4746836748207168e-01
    1.500000   1.14978193  1.2225591739131544e-01
    1.500000   1.21455301  1.0293383602803384e-01
    1.500000   1.27932429  8.8302237123939559e-02
    1.500000   1.34409571  7.7481356592546707e-02
    1.500000   1.40886724  6.9846021707090020e-02
    1.500000   1.47363885  6.4972277920319718e-02
    1.500000   1.53841049  6.2598056116019360e-02
    1.500000   1.60318216  6.2597541473258994e-02
    1.500000   1.66795381  6.4968295785411426e-02
    1.500000   1.73272541  6.9830377760593448e-02
    1.500000   1.79749694  7.7437176695430279e-02
    1.500000   1.86226837  8.8198036873147548e-02
    1.500000   1.92703964  1.0271256532000932e-01
    1.500000   1.99181073  1.2181507959425913e-01
    1.500000   2.05658157  1.4662373848688190e-01
    1.500000   2.12135212  1.7858057317471612e-01
    1.500000   2.18612229  2.1945377856434259e-01
    1.500000   2.25089198  2.7125372493518285e-01
    1.500000   2.31566107  3.3601076126420998e-01
    1.500000   2.38042940  4.1547942976004504e-01
    1.500000   2.44519674  5.1147478860291140e-01
    1.500000   2.50996278  6.3017564008608506e-01
    1.500000   2.57472706  8.0344523077759444e-01
    1.500000   2.63948889  1.1743293163454434e+00
    1.500000   2.70424717  2.3090496491974952e+00
    1.500000   2.76900006  6.2649124172972881e+00
    1.500000   2.83374417  1.9970466857002840e+01
    1.500000   2.89847256  6.4379445901681052e+01
    1.500000   2.96316844  1.9048828453298867e+02
    1.500000   3.02777863  4.6755743104216225e+02
    1.500000   3.09200950  8.3223133942861796e+02
    1.550000   0.04958315  3.4032239523949141e+02
    1.550000   0.11381403  2.1081938974309389e+02
    1.550000   0.17842421  9.8376189769562458e+01
    1.550000   0.24312010  3.8607368587721808e+01
    1.550000   0.30784849  1.4094066401095224e+01
    1.550000   0.37259260  5.3096652392035946e+00
    1.550000   0.43734549  2.3234267741866130e+00
    1.550000   0.50210377  1.2770087738263087e+00
    1.550000   0.56686560  8.5334371222241867e-01
    1.550000   0.63162987  6.3399360646436842e-01
    1.550000   0.69639591  4.9128679270024800e-01
    1.550000   0.76116325  3.8617199634658950e-01
    1.550000   0.82593158  3.0528876204580579e-01
    1.550000   0.89070068  2.4249428671128179e-01
    1.550000   0.95547037  1.9381590408452454e-01
    1.550000   1.02024053  1.5619662387655328e-01
    1.550000   1.08501108  1.2720206211471055e-01
    1.550000   1.14978193  1.0492296540012698e-01
    1.550000   1.21455301  8.7898678690308207e-02
    1.550000   1.27932429  7.5038444624659834e-02
    1.550000   1.34409571  6.5546898039512178e-02
    1.550000   1.40886724  5.8860464717385583e-02
    1.550000   1.47363885  5.4597493008351761e-02
    1.550000   1.53841049  5.2522233834588483e-02
    1.550000   1.60318216  5.2521633143403065e-02
    1.550000   1.66795381  5.4593769307194277e-02
    1.550000   1.73272541  5.8847151778051103e-02
    1.550000   1.79749694  6.5510654078280134e-02
    1.550000   1.86226837  7.4954324706901276e-02
    1.550000   1.92703964  8.7721404980707879e-02
    1.550000   1.99181073  1.0457110036006931e-01
    1.550000   2.05658157  1.2652917593362129e-01
    1.550000   2.12135212  1.5493804266221731e-01
    1.550000   2.18612229  1.9148855879186844e-01
    1.550000   2.25089198  2.3820434889671280e-01
    1.550000   2.31566107  2.9735336294349901e-01
    1.550000   2.38042940  3.7135588327191960e-01
    1.550000   2.44519674  4.6321832910018307e-01
    1.550000   2.50996278  5.7977891790279723e-01
    1.550000   2.57472706  7.4610485406126215e-01
    1.550000   2.63948889  1.0589440170401618e+00
    1.550000   2.70424717  1.8663778655111019e+00
    1.550000   2.76900006  4.3221723093812097e+00
    1.550000   2.83374417  1.1906314323081066e+01
    1.550000   2.89847256  3.3719834843621740e+01
    1.550000   2.96316844  8.7791251778787824e+01
    1.550000   3.02777863  1.9025255887524102e+02
    1.550000   3.09200950  3.0846416395045105e+02
    1.600000   0.04958315  1.3972299845002524e+02
    1.600000   0.11381403  9.3005180422809090e+01
    1.600000   0.17842421  4.8112847963560682e+01
    1.600000   0.24312010  2.1186159738262099e+01
    1.600000   0.30784849  8.7428592792741870e+00
    1.600000   0.37259260  3.7527434000639373e+00
    1.600000   0.43734549  1.8547334723249225e+00
    1.600000   0.50210377  1.1036513288224321e+00
    1.600000   0.56686560  7.6005217124602198e-01
    1.600000   0.63162987  5.6634445818721091e-01
    1.600000   0.69639591  4.3635115890674442e-01
    1.600000   0.76116325  3.4061344084697887e-01
    1.600000   0.82593158  2.6759043970579027e-01
    1.600000   0.89070068  2.1138758488817186e-01
    1.600000   0.95547037  1.6811008412334313e-01
    1.600000   1.02024053  1.3482978613898045e-01
    1.600000   1.08501108  1.0927538810108507e-01
    1.600000   1.14978193  8.9698405925175514e-02
    1.600000   1.21455301  7.4776563882776648e-02
    1.600000   1.27932429  6.3529047001660774e-02
    1.600000   1.34409571  5.5243245981866446e-02
    1.600000   1.40886724  4.9415106042776852e-02
    1.600000   1.47363885  4.5703520712695123e-02
    1.600000   1.53841049  4.3897847859210810e-02
    1.600000   1.60318216  4.3897150422847996e-02
    1.600000   1.66795381  4.5699920061536572e-02
    1.600000   1.73272541  4.9403521346037538e-02
    1.600000   1.79749694  5.5213177032044751e-02
    1.600000   1.86226837  6.3460830214442765e-02
    1.600000   1.92703964  7.4634465380109580e-02
    1.600000   1.99181073  8.9418119837865406e-02
    1.600000   2.05658157  1.0874131948786241e-01
    1.600000   2.12135212  1.3383325168498436e-01
    1.600000   2.18612229  1.6627111926443042e-01
    1.600000   2.25089198  2.0800586461442874e-01
    1.600000   2.31566107  2.6135506344041193e-01
    1.600000   2.38042940  3.2902522624223890e-01
    1.600000   2.44519674  4.1454558092449417e-01
    1.600000   2.50996278  5.2463659352317582e-01
    1.600000   2.57472706  6.7870177816289279e-01
    1.600000   2.63948889  9.4149859282371129e-01
    1.600000   2.70424717  1.5243228541581240e+00
    1.600000   2.76900006  3.0665442635417035e+00
    1.600000   2.83374417  7.3036047988489461e+00
    1.600000   2.89847256  1.8199017043669123e+01
    1.600000   2.96316844  4.2215387204074972e+01
    1.600000   3.02777863  8.2638297420965628e+01
    1.600000   3.09200950  1.2486743726656296e+02
    1.650000   0.04958315  6.2050171482141700e+01
    1.650000   0.11381403  4.3742423663954639e+01
    1.650000   0.17842421  2.4699621963954662e+01
    1.650000   0.24312010  1.2083207149247224e+01
    1.650000   0.30784849  5.6082709302618516e+00
    1.650000   0.37259260  2.7214179238670115e+00
    1.650000   0.43734549  1.4944800007064505e+00
    1.650000   0.50210377  9.4795036179438064e-01
    1.650000   0.56686560  6.6908744821310806e-01
    1.650000   0.63162987  5.0044013656788144e-01
    1.650000   0.69639591  3.8421367406606860e-01
    1.650000   0.76116325  2.9838701197200396e-01
    1.650000   0.82593158  2.3324660817692597e-01
    1.650000   0.89070068  1.8339928953018178e-01
    1.650000   0.95547037  1.4520008027726408e-01
    1.650000   1.02024053  1.1593524685473010e-01
    1.650000   1.08501108  9.3531444114636625e-02
    1.650000   1.14978193  7.6411288463785379e-02
    1.650000   1.21455301  6.3390931266296385e-02
    1.650000   1.27932429  5.3596087012269374e-02
    1.650000   1.34409571  4.6392968632132776e-02
    1.650000   1.40886724  4.1333686010238783e-02
    1.650000   1.47363885  3.8115202066916522e-02
    1.650000   1.53841049  3.6550381635243781e-02
    1.650000   1.60318216  3.6549597458180053e-02
    1.650000   1.66795381  3.8111669991594349e-02
    1.650000   1.73272541  4.1323429338642401e-02
    1.650000   1.79749694  4.6367758388982050e-02
    1.650000   1.86226837  5.3540494519295836e-02
    1.650000   1.92703964  6.3276898388142197e-02
    1.650000   1.99181073  7.6188321181455063e-02
    1.650000   2.05658157  9.3108850449671710e-02
    1.650000   2.12135212  1.1514960307890948e-01
    1.650000   2.18612229  1.4375474987940062e-01
    1.650000   2.25089198  1.8075008090300029e-01
    1.650000   2.31566107  2.2838167230496878e-01
    1.650000   2.38042940  2.8939518503586359e-01
    1.650000   2.44519674  3.6742213031190923e-01
    1.650000   2.50996278  4.6866193495375047e-01
    1.650000   2.57472706  6.0801159843460106e-01
    1.650000   2.63948889  8.2865928902017594e-01
    1.650000   2.70424717  1.2580685781277532e+00
    1.650000   2.76900006  2.2485386505815899e+00
    1.650000   2.83374417  4.6646072206999261e+00
    1.650000   2.89847256  1.0245138424055492e+01
    1.650000   2.96316844  2.1332912976703330e+01
    1.650000   3.02777863  3.8257238002237173e+01
    1.650000   3.09200950  5.4617035448929386e+01
    1.700000   0.04958315  2.9634050052185888e+01
    1.700000   0.11381403  2.1927555410381995e+01
    1.700000   0.17842421  1.3379886845534372e+01
    1.700000   0.24312010  7.2177738613427280e+00
    1.700000   0.30784849  3.7421030605166101e+00
    1.700000   0.37259260  2.0277170063011978e+00
    1.700000   0.43734549  1.2154211739381895e+00
    1.700000   0.50210377  8.1080511740828654e-01
    1.700000   0.56686560  5.8380958537771221e-01
    1.700000   0.63162987  4.3841081262742121e-01
    1.700000   0.69639591  3.3590287926413687e-01
    1.700000   0.76116325  2.5989004150484729e-01
    1.700000   0.82593158  2.0233505374333088e-01
    1.700000   0.89070068  1.5845459281776256e-01
    1.700000   0.95547037  1.2494189020652063e-01
    1.700000   1.02024053  9.9340301294486316e-02
    1.700000   1.08501108  7.9788130412206185e-02
    1.700000   1.14978193  6.4879062558024683e-02
    1.700000   1.21455301  5.3562620572897741e-02
    1.700000   1.27932429  4.5065075571852922e-02
    1.700000   1.34409571  3.8826207975944549e-02
    1.700000   1.40886724  3.4450232625871394e-02
    1.700000   1.47363885  3.1669321644765505e-02
    1.700000   1.53841049  3.0318044418036847e-02
    1.700000   1.60318216  3.0317193966216099e-02
    1.700000   1.66795381  3.1665851028282545e-02
    1.700000   1.73272541  3.4441040518464749e-02
    1.700000   1.79749694  3.8804870418241599e-02
    1.700000   1.86226837  4.5019538200109198e-02
    1.700000   1.92703964  5.3470954836915031e-02
