# R_ang  theta_rad  Veff_hartree
    1.500000   0.04958315  8.6680791811271342e+02
    1.500000   0.11381403  4.8759685817407052e+02
    1.500000   0.17842421  1.9956872325968988e+02
    1.500000   0.24312010  6.8151227086006074e+01
    1.500000   0.30784849  2.1536287495596017e+01
    1.500000   0.37259260  6.9373097631284342e+00
    1.500000   0.43734549  2.6106038891536505e+00
    1.500000   0.50210377  1.3155094654840396e+00
    1.500000   0.56686560  8.7215869119488421e-01
    1.500000   0.63162987  6.6475540262192012e-01
    1.500000   0.69639591  5.2936591235048003e-01
    1.500000   0.76116325  4.2494214640822120e-01
    1.500000   0.82593158  3.4109815729900056e-01
    1.500000   0.89070068  2.7401791612906978e-01
    1.500000   0.95547037  2.2096234253270347e-01
    1.500000   1.02024053  1.7940181176417744e-01
    1.500000   1.08501108  1.4706595170319139e-01
    1.500000   1.14978193  1.2204802217963517e-01
    1.500000   1.21455301  1.0283071551994523e-01
    1.500000   1.27932429  8.8254313522098005e-02
    1.500000   1.34409571  7.7461259242095751e-02
    1.500000   1.40886724  6.9838808053556786e-02
    1.500000   1.47363885  6.4970081721728537e-02
    1.500000   1.53841049  6.2597216602149591e-02
    1.500000   1.60318216  6.2597214255776648e-02
    1.500000   1.66795381  6.4970075102758984e-02
    1.500000   1.73272541  6.9838798580035610e-02
    1.500000   1.79749694  7.7461249850345068e-02
    1.500000   1.86226837  8.8254309709407369e-02
    1.500000   1.92703964  1.0283072723810598e-01
    1.500000   1.99181073  1.2204806719940535e-01
    1.500000   2.05658157  1.4706606160397603e-01
    1.500000   2.12135212  1.7940204271675536e-01
    1.500000   2.18612229  2.2096279501539925e-01
    1.500000   2.25089198  2.7401877165092065e-01
    1.500000   2.31566107  3.4109974824010592e-01
    1.500000   2.38042940  4.2494509193588215e-01
    1.500000   2.44519674  5.2937138964462471e-01
    1.500000   2.50996278  6.6476570288210857e-01
    1.500000   2.57472706  8.7217839206223469e-01
    1.500000   2.63948889  1.3155479742534737e+00
    1.500000   2.70424717  2.6106811034147843e+00
    1.500000   2.76900006  6.9374688885055544e+00
    1.500000   2.83374417  2.1536623897935055e+01
    1.500000   2.89847256  6.8151948913613239e+01
    1.500000   2.96316844  1.9957024818279720e+02
    1.500000   3.02777863  4.8759981486671506e+02
    1.500000   3.09200950  8.6681255960991325e+02
    1.550000   0.04958315  3.2320519211073781e+02
    1.550000   0.11381403  1.9980786700343364e+02
    1.550000   0.17842421  9.2739925092492740e+01
    1.550000   0.24312010  3.6022006196843812e+01
    1.550000   0.30784849  1.2945131620347929e+01
    1.550000   0.37259260  4.7949571866399729e+00
    1.550000   0.43734549  2.0870235565735196e+00
    1.550000   0.50210377  1.1650857753144508e+00
    1.550000   0.56686560  7.9872481917051985e-01
    1.550000   0.63162987  6.0659024477387102e-01
    1.550000   0.69639591  4.7720507945289881e-01
    1.550000   0.76116325  3.7879338804133467e-01
    1.550000   0.82593158  3.0136551211314117e-01
    1.550000   0.89070068  2.4038878190398061e-01
    1.550000   0.95547037  1.9268215755324439e-01
    1.550000   1.02024053  1.5558833363099345e-01
    1.550000   1.08501108  1.2687962259497476e-01
    1.550000   1.14978193  1.0475595728423991e-01
    1.550000   1.21455301  8.7815426213505604e-02
    1.550000   1.27932429  7.4999364386162531e-02
    1.550000   1.34409571  6.5530159514609776e-02
    1.550000   1.40886724  5.8854168461288880e-02
    1.550000   1.47363885  5.4595385127602120e-02
    1.550000   1.53841049  5.2521405025422185e-02
    1.550000   1.60318216  5.2521403276825335e-02
    1.550000   1.66795381  5.4595380205108859e-02
    1.550000   1.73272541  5.8854161457215018e-02
    1.550000   1.79749694  6.5530152694323857e-02
    1.550000   1.86226837  7.4999361996930053e-02
    1.550000   1.92703964  8.7815435951163409e-02
    1.550000   1.99181073  1.0475599289326512e-01
    1.550000   2.05658157  1.2687970848224750e-01
    1.550000   2.12135212  1.5558851313417288e-01
    1.550000   2.18612229  1.9268250796762051e-01
    1.550000   2.25089198  2.4038944224518369e-01
    1.550000   2.31566107  3.0136673535409347e-01
    1.550000   2.38042940  3.7879564135008881e-01
    1.550000   2.44519674  4.7720924055643649e-01
    1.550000   2.50996278  6.0659799480469756e-01
    1.550000   2.57472706  7.9873944463174207e-01
    1.550000   2.63948889  1.1651138334656030e+00
    1.550000   2.70424717  2.0870783669103754e+00
    1.550000   2.76900006  4.7950660959088749e+00
    1.550000   2.83374417  1.2945350429676239e+01
    1.550000   2.89847256  3.6022443850793636e+01
    1.550000   2.96316844  9.2740767980269993e+01
    1.550000   3.02777863  1.9980933562062245e+02
    1.550000   3.09200950  3.2320730160498960e+02
    1.600000   0.04958315  1.3176392105879219e+02
    1.600000   0.11381403  8.7467016172400989e+01
    1.600000   0.17842421  4.4976825261997661e+01
    1.600000   0.24312010  1.9606797381596333e+01
    1.600000   0.30784849  7.9867526513928064e+00
    1.600000   0.37259260  3.3946953507953985e+00
    1.600000   0.43734549  1.6835396944966730e+00
    1.600000   0.50210377  1.0202359616547423e+00
    1.600000   0.56686560  7.1850413955000680e-01
    1.600000   0.63162987  5.4519561672860117e-01
    1.600000   0.69639591  4.2537272718459812e-01
    1.600000   0.76116325  3.3482017455961710e-01
    1.600000   0.82593158  2.6449501130473058e-01
    1.600000   0.89070068  2.0972060671544962e-01
    1.600000   0.95547037  1.6721011767940877e-01
    1.600000   1.02024053  1.3434577588133967e-01
    1.600000   1.08501108  1.0901809479656599e-01
    1.600000   1.14978193  8.9564561998970893e-02
    1.600000   1.21455301  7.4709338837842254e-02
    1.600000   1.27932429  6.3497043943247705e-02
    1.600000   1.34409571  5.5229156601233113e-02
    1.600000   1.40886724  4.9409505551959852e-02
    1.600000   1.47363885  4.5701461875313855e-02
    1.600000   1.53841049  4.3897029647659867e-02
    1.600000   1.60318216  4.3897028364776262e-02
    1.600000   1.66795381  4.5701458274660774e-02
    1.600000   1.73272541  4.9409500472184287e-02
    1.600000   1.79749694  5.5229151783841038e-02
    1.600000   1.86226837  6.3497042656903702e-02
    1.600000   1.92703964  7.4709347008301508e-02
    1.600000   1.99181073  8.9564590206708636e-02
    1.600000   2.05658157  1.0901816180807347e-01
    1.600000   2.12135212  1.3434591494515127e-01
    1.600000   2.18612229  1.6721038789067533e-01
    1.600000   2.25089198  2.0972111382544245e-01
    1.600000   2.31566107  2.6449594642117097e-01
    1.600000   2.38042940  3.3482188729184220e-01
    1.600000   2.44519674  4.2537586613479295e-01
    1.600000   2.50996278  5.4520140340697509e-01
    1.600000   2.57472706  7.1851490887285985e-01
    1.600000   2.63948889  1.0202562345624508e+00
    1.600000   2.70424717  1.6835782917013509e+00
    1.600000   2.76900006  3.3947694229093757e+00
    1.600000   2.83374417  7.9868946937627268e+00
    1.600000   2.89847256  1.9607064708964195e+01
    1.600000   2.96316844  4.4977303033195426e+01
    1.600000   3.02777863  8.7467784910577095e+01
    1.600000   3.09200950  1.3176495947934819e+02
    1.650000   0.04958315  5.8077400059938881e+01
    1.650000   0.11381403  4.0817853337759104e+01
    1.650000   0.17842421  2.2911631688764018e+01
    1.650000   0.24312010  1.1111920222711912e+01
    1.650000   0.30784849  5.1124495364186320e+00
    1.650000   0.37259260  2.4744828452201637e+00
    1.650000   0.43734549  1.3718217961238148e+00
    1.650000   0.50210377  8.8646795801780365e-01
    1.650000   0.56686560  6.3782068489474752e-01
    1.650000   0.63162987  4.8428177391936816e-01
    1.650000   0.69639591  3.7573327090458014e-01
    1.650000   0.76116325  2.9387633290163567e-01
    1.650000   0.82593158  2.3082255973264032e-01
    1.650000   0.89070068  1.8208821762206945e-01
    1.650000   0.95547037  1.4448975847086162e-01
    1.650000   1.02024053  1.1555192430691692e-01
    1.650000   1.08501108  9.3326832586403688e-02
    1.650000   1.14978193  7.6304202270005742e-02
    1.650000   1.21455301  6.3336602832446132e-02
    1.650000   1.27932429  5.3569760074683392e-02
    1.650000   1.34409571  4.6380994279847272e-02
    1.650000   1.40886724  4.1328636221077554e-02
    1.650000   1.47363885  3.8113181026201606e-02
    1.650000   1.53841049  3.6549577336818365e-02
    1.650000   1.60318216  3.6549576413316673e-02
    1.650000   1.66795381  3.8113178445375206e-02
    1.650000   1.73272541  4.1328632624821268e-02
    1.650000   1.79749694  4.6380991002477300e-02
    1.650000   1.86226837  5.3569759622579934e-02
    1.650000   1.92703964  6.3336609750299894e-02
    1.650000   1.99181073  7.6304224667541276e-02
    1.650000   2.05658157  9.3326884825823173e-02
    1.650000   2.12135212  1.1555203176747710e-01
    1.650000   2.18612229  1.4448996608584816e-01
    1.650000   2.25089198  1.8208860536166310e-01
    1.650000   2.31566107  2.3082327104392800e-01
    1.650000   2.38042940  2.9387762761073599e-01
    1.650000   2.44519674  3.7573562475547539e-01
    1.650000   2.50996278  4.8428606752697168e-01
    1.650000   2.57472706  6.3782856377468022e-01
    1.650000   2.63948889  8.8648251461042815e-01
    1.650000   2.70424717  1.3718488313799262e+00
    1.650000   2.76900006  2.4745330667123970e+00
    1.650000   2.83374417  5.1125418790550423e+00
    1.650000   2.89847256  1.1112085148074401e+01
    1.650000   2.96316844  2.2911909092783933e+01
    1.650000   3.02777863  4.0818273410294651e+01
    1.650000   3.09200950  5.8077942923060903e+01
    1.700000   0.04958315  2.7538943883644656e+01
    1.700000   0.11381403  2.0319339555554421e+01
    1.700000   0.17842421  1.2336497712885235e+01
    1.700000   0.24312010  6.6148435296157899e+00
    1.700000   0.30784849  3.4168733829522395e+00
    1.700000   0.37259260  1.8582349298530485e+00
    1.700000   0.43734549  1.1281844594605142e+00
    1.700000   0.50210377  7.6586797276670027e-01
    1.700000   0.56686560  5.6048091655550070e-01
    1.700000   0.63162987  4.2616737155367557e-01
    1.700000   0.69639591  3.2940296215338916e-01
    1.700000   0.76116325  2.5640311201470600e-01
    1.700000   0.82593158  2.0044906923115269e-01
    1.700000   0.89070068  1.5742937426589868e-01
    1.700000   0.95547037  1.2438402156480503e-01
    1.700000   1.02024053  9.9037926704702850e-02
    1.700000   1.08501108  7.9625857279790782e-02
    1.700000   1.14978193  6.4793471764722277e-02
    1.700000   1.21455301  5.3518653067779157e-02
    1.700000   1.27932429  4.5043315826740621e-02
    1.700000   1.34409571  3.8815945669719722e-02
    1.700000   1.40886724  3.4445639832523092e-02
    1.700000   1.47363885  3.1667343290801370e-02
    1.700000   1.53841049  3.0317259286921444e-02
    1.700000   1.60318216  3.0317258638001481e-02
    1.700000   1.66795381  3.1667341488707264e-02
    1.700000   1.73272541  3.4445637367120509e-02
    1.700000   1.79749694  3.8815943560121732e-02
    1.700000   1.86226837  4.5043315988250926e-02
    1.700000   1.92703964  5.3518658973022479e-02
    1.700000   1.99181073  6.4793489604925758e-02
    1.700000   2.05658157  7.9625897999638456e-02
    1.700000   2.12135212  9.9038009588306483e-02
    1.700000   2.18612229  1.2438418061093437e-01
    1.700000   2.25089198  1.5742966963461782e-01
    1.700000   2.31566107  2.0044960800065081e-01
    1.700000   2.38042940  2.5640408615993276e-01
    1.700000   2.44519674  3.2940471850878789e-01
    1.700000   2.50996278  4.2617054104555319e-01
    1.700000   2.57472706  5.6048665183565549e-01
    1.700000   2.63948889  7.6587837764781941e-01
    1.700000   2.70424717  1.1282033337415232e+00
    1.700000   2.76900006  1.8582689512682706e+00
    1.700000   2.83374417  3.4169336310649010e+00
    1.700000   2.89847256  6.6149464042848134e+00
    1.700000   2.96316844  1.2336662366147262e+01
    1.700000   3.02777863  2.0319577388796507e+01
    1.700000   3.09200950  2.7539241245377536e+01
    1.750000   0.04958315  1.4037312137184188e+01
    1.750000   0.11381403  1.0817131377705403e+01
    1.750000   0.17842421  7.0593085831504228e+00
    1.750000   0.24312010  4.1583455692736973e+00
    1.750000   0.30784849  2.3874815077649263e+00
    1.750000   0.37259260  1.4335964775064864e+00
    1.750000   0.43734549  9.3474133724008368e-01
    1.750000   0.50210377  6.5872126510472118e-01
    1.750000   0.56686560  4.8859382008311725e-01
    1.750000   0.63162987  3.7218328183815413e-01
    1.750000   0.69639591  2.8696710606062759e-01
    1.750000   0.76116325  2.2255628856679596e-01
    1.750000   0.82593158  1.7331915786150687e-01
    1.750000   0.89070068  1.3559528540046822e-01
    1.750000   0.95547037  1.0670850805857188e-01
    1.750000   1.02024053  8.4610607976180460e-02
    1.750000   1.08501108  6.7724940266487496e-02
    1.750000   1.14978193  5.4849629838439745e-02
    1.750000   1.21455301  4.5081400903740743e-02
    1.750000   1.27932429  3.7751848313356311e-02
    1.750000   1.34409571  3.2375187843889111e-02
    1.750000   1.40886724  2.8607174300780004e-02
    1.750000   1.47363885  2.6214338511394087e-02
    1.750000   1.53841049  2.5052351950931192e-02
    1.750000   1.60318216  2.5052351509564398e-02
    1.750000   1.66795381  2.6214337297335133e-02
    1.750000   1.73272541  2.8607172686833972e-02
    1.750000   1.79749694  3.2375186606102065e-02
    1.750000   1.86226837  3.7751848910634336e-02
    1.750000   1.92703964  4.5081405980360367e-02
    1.750000   1.99181073  5.4849644103543427e-02
    1.750000   2.05658157  6.7724972027793179e-02
    1.750000   2.12135212  8.4610671825861850e-02
    1.750000   2.18612229  1.0670862960974029e-01
    1.750000   2.25089198  1.3559550970370646e-01
    1.750000   2.31566107  1.7331956446662911e-01
    1.750000   2.38042940  2.2255701862116892e-01
    1.750000   2.44519674  2.8696841116740607e-01
    1.750000   2.50996278  3.7218561184907073e-01
    1.750000   2.57472706  4.8859797884952810e-01
    1.750000   2.63948889  6.5872867888260478e-01
    1.750000   2.70424717  9.3475449072111394e-01
    1.750000   2.76900006  1.4336195409471693e+00
    1.750000   2.83374417  2.3875210063658363e+00
    1.750000   2.89847256  4.1584104579843677e+00
    1.750000   2.96316844  7.0594082655391430e+00
    1.750000   3.02777863  1.0817270066241157e+01
    1.750000   3.09200950  1.4037481189931556e+01
    1.800000   0.04958315  7.6998000521276673e+00
    1.800000   0.11381403  6.1734898961899782e+00
    1.800000   0.17842421  4.3056884325791911e+00
    1.800000   0.24312010  2.7625921448585951e+00
    1.800000   0.30784849  1.7384372599273270e+00
    1.800000   0.37259260  1.1309036027021984e+00
    1.800000   0.43734549  7.7865736459192714e-01
    1.800000   0.50210377  5.6443235939929082e-01
    1.800000   0.56686560  4.2316548784712654e-01
    1.800000   0.63162987  3.2298523618563557e-01
    1.800000   0.69639591  2.4864779643790816e-01
    1.800000   0.76116325  1.9230187519315955e-01
    1.800000   0.82593158  1.4927895992485307e-01
    1.800000   0.89070068  1.1638705904611933e-01
    1.800000   0.95547037  9.1255176510596184e-02
    1.800000   1.02024053  7.2068205505024213e-02
    1.800000   1.08501108  5.7434182529484852e-02
    1.800000   1.14978193  4.6295738682852833e-02
    1.800000   1.21455301  3.7860015271478926e-02
    1.800000   1.27932429  3.1540971640600240e-02
    1.800000   1.34409571  2.6912805431479243e-02
    1.800000   1.40886724  2.3673708652149249e-02
    1.800000   1.47363885  2.1618898800186581e-02
    1.800000   1.53841049  2.0621719916132507e-02
    1.800000   1.60318216  2.0621719629789918e-02
    1.800000   1.66795381  2.1618898024652996e-02
    1.800000   1.73272541  2.3673707670392424e-02
    1.800000   1.79749694  2.6912804832775118e-02
    1.800000   1.86226837  3.1540972532822953e-02
    1.800000   1.92703964  3.7860019661588022e-02
    1.800000   1.99181073  4.6295750140347515e-02
    1.800000   2.05658157  5.7434207337635164e-02
    1.800000   2.12135212  7.2068254663960538e-02
    1.800000   2.18612229  9.1255269240530443e-02
    1.800000   2.25089198  1.1638722894700865e-01
    1.800000   2.31566107  1.4927926585262444e-01
    1.800000   2.38042940  1.9230242049782956e-01
    1.800000   2.44519674  2.4864876290837706e-01
    1.800000   2.50996278  3.2298694338056266e-01
    1.800000   2.57472706  4.2316849464260681e-01
    1.800000   2.63948889  5.6443763082938669e-01
    1.800000   2.70424717  7.7866652536519265e-01
