# R_ang  theta_rad  Veff_hartree
    1.500000   0.04958315  6.8395791808444449e+02
    1.500000   0.11381403  3.8231091528171481e+02
    1.500000   0.17842421  1.5351153215801298e+02
    1.500000   0.24312010  5.0472670089594267e+01
    1.500000   0.30784849  1.5068161083290095e+01
    1.500000   0.37259260  4.6050616129964830e+00
    1.500000   0.43734549  1.7793457100863150e+00
    1.500000   0.50210377  1.0284765342972415e+00
    1.500000   0.56686560  7.8133775582217280e-01
    1.500000   0.63162987  6.4275725236191716e-01
    1.500000   0.69639591  5.2966722694272472e-01
    1.500000   0.76116325  4.3095594010922461e-01
    1.500000   0.82593158  3.4731520886957756e-01
    1.500000   0.89070068  2.7894207246538233e-01
    1.500000   0.95547037  2.2446207904463128e-01
    1.500000   1.02024053  1.8173590263976819e-01
    1.500000   1.08501108  1.4854472666319565e-01
    1.500000   1.14978193  1.2293198720030589e-01
    1.500000   1.21455301  1.0331351838590548e-01
    1.500000   1.27932429  8.8472098559342086e-02
    1.500000   1.34409571  7.7507415230911328e-02
    1.500000   1.40886724  6.9777319571908455e-02
    1.500000   1.47363885  6.4845968129926462e-02
    1.500000   1.53841049  6.2444353459068874e-02
    1.500000   1.60318216  6.2444352937251549e-02
    1.500000   1.66795381  6.4845966658963153e-02
    1.500000   1.73272541  6.9777317470716083e-02
    1.500000   1.79749694  7.7507413159875513e-02
    1.500000   1.86226837  8.8472097754863921e-02
    1.500000   1.92703964  1.0331352108634914e-01
    1.500000   1.99181073  1.2293199740298739e-01
    1.500000   2.05658157  1.4854475147230528e-01
    1.500000   2.12135212  1.8173595469359372e-01
    1.500000   2.18612229  2.2446218095504974e-01
    1.500000   2.25089198  2.7894226508931846e-01
    1.500000   2.31566107  3.4731556704376987e-01
    1.500000   2.38042940  4.3095660327670832e-01
    1.500000   2.44519674  5.2966846026795233e-01
    1.500000   2.50996278  6.4275957197444333e-01
    1.500000   2.57472706  7.8134219268670546e-01
    1.500000   2.63948889  1.0284852056133507e+00
    1.500000   2.70424717  1.7793630870474741e+00
    1.500000   2.76900006  4.6050973751350250e+00
    1.500000   2.83374417  1.5068236479006524e+01
    1.500000   2.89847256  5.0472831057847806e+01
    1.500000   2.96316844  1.5351186945020456e+02
    1.500000   3.02777863  3.8231156210635436e+02
    1.500000   3.09200950  6.8395892328425907e+02
    1.550000   0.04958315  2.4469248579390600e+02
    1.550000   0.11381403  1.4960049628618867e+02
    1.550000   0.17842421  6.7715866076851896e+01
    1.550000   0.24312010  2.5205924027970955e+01
    1.550000   0.30784849  8.5850295300613073e+00
    1.550000   0.37259260  3.0937509721071712e+00
    1.550000   0.43734549  1.4371612534053255e+00
    1.550000   0.50210377  9.2399385769475806e-01
    1.550000   0.56686560  7.1456674311209023e-01
    1.550000   0.63162987  5.8129085824417559e-01
    1.550000   0.69639591  4.7283367003298177e-01
    1.550000   0.76116325  3.8095220750367581e-01
    1.550000   0.82593158  3.0483602837592572e-01
    1.550000   0.89070068  2.4347902571809443e-01
    1.550000   0.95547037  1.9500179200081511e-01
    1.550000   1.02024053  1.5718362329311306e-01
    1.550000   1.08501108  1.2790866240526030e-01
    1.550000   1.14978193  1.0537644159712552e-01
    1.550000   1.21455301  8.8153566711901971e-02
    1.550000   1.27932429  7.5147686061161942e-02
    1.550000   1.34409571  6.5553916517869112e-02
    1.550000   1.40886724  5.8799007800981580e-02
    1.550000   1.47363885  5.4493974273874951e-02
    1.550000   1.53841049  5.2398665579430154e-02
    1.550000   1.60318216  5.2398665190899495e-02
    1.550000   1.66795381  5.4493973181046332e-02
    1.550000   1.73272541  5.8799006249705778e-02
    1.550000   1.79749694  6.5553915018007683e-02
    1.550000   1.86226837  7.5147685568623127e-02
    1.550000   1.92703964  8.8153568958756076e-02
    1.550000   1.99181073  1.0537644967689239e-01
    1.550000   2.05658157  1.2790868181168835e-01
    1.550000   2.12135212  1.5718366378217327e-01
    1.550000   2.18612229  1.9500187097546595e-01
    1.550000   2.25089198  2.4347917448304535e-01
    1.550000   2.31566107  3.0483630390784316e-01
    1.550000   2.38042940  3.8095271503696787e-01
    1.550000   2.44519674  4.7283460729382693e-01
    1.550000   2.50996278  5.8129260388876103e-01
    1.550000   2.57472706  7.1457003703623967e-01
    1.550000   2.63948889  9.2400017460887540e-01
    1.550000   2.70424717  1.4371735829178922e+00
    1.550000   2.76900006  3.0937754308772996e+00
    1.550000   2.83374417  8.5850785256045477e+00
    1.550000   2.89847256  2.5206021553035225e+01
    1.550000   2.96316844  6.7716052569219968e+01
    1.550000   3.02777863  1.4960081842449745e+02
    1.550000   3.09200950  2.4469294516169251e+02
    1.600000   0.04958315  9.5082147907363407e+01
    1.600000   0.11381403  6.2219211207982276e+01
    1.600000   0.17842421  3.1095276907825561e+01
    1.600000   0.24312010  1.3000754311469368e+01
    1.600000   0.30784849  5.0921567352735835e+00
    1.600000   0.37259260  2.1830642703446022e+00
    1.600000   0.43734549  1.1912258728575473e+00
    1.600000   0.50210377  8.2615749842687358e-01
    1.600000   0.56686560  6.4559984928393366e-01
    1.600000   0.63162987  5.2038162529055254e-01
    1.600000   0.69639591  4.1887564916342312e-01
    1.600000   0.76116325  3.3472795580735853e-01
    1.600000   0.82593158  2.6620358120396515e-01
    1.600000   0.89070068  2.1157474568019088e-01
    1.600000   0.95547037  1.6871029153085565e-01
    1.600000   1.02024053  1.3541826512699598e-01
    1.600000   1.08501108  1.0972517813787126e-01
    1.600000   1.14978193  8.9995409630961060e-02
    1.600000   1.21455301  7.4943602644829396e-02
    1.600000   1.27932429  6.3596407354513218e-02
    1.600000   1.34409571  5.5238635089589240e-02
    1.600000   1.40886724  4.9361377798747857e-02
    1.600000   1.47363885  4.5619291385593681e-02
    1.600000   1.53841049  4.3799079490786139e-02
    1.600000   1.60318216  4.3799079206028574e-02
    1.600000   1.66795381  4.5619290587180471e-02
    1.600000   1.73272541  4.9361376675572360e-02
    1.600000   1.79749694  5.5238634033878624e-02
    1.600000   1.86226837  6.3596407102401442e-02
    1.600000   1.92703964  7.4943604530800331e-02
    1.600000   1.99181073  8.9995416037727663e-02
    1.600000   2.05658157  1.0972519329174897e-01
    1.600000   2.12135212  1.3541829651621992e-01
    1.600000   2.18612229  1.6871035246609098e-01
    1.600000   2.25089198  2.1157485998351036e-01
    1.600000   2.31566107  2.6620379192915239e-01
    1.600000   2.38042940  3.3472834171861182e-01
    1.600000   2.44519674  4.1887635637120951e-01
    1.600000   2.50996278  5.2038292887381332e-01
    1.600000   2.57472706  6.4560227468148867e-01
    1.600000   2.63948889  8.2616206165787398e-01
    1.600000   2.70424717  1.1912345516871636e+00
    1.600000   2.76900006  2.1830808955898799e+00
    1.600000   2.83374417  5.0921885210190361e+00
    1.600000   2.89847256  1.3000813862366794e+01
    1.600000   2.96316844  3.1095382686581360e+01
    1.600000   3.02777863  6.2219380239644209e+01
    1.600000   3.09200950  9.5082375007129485e+01
    1.650000   0.04958315  3.9791035351862504e+01
    1.650000   0.11381403  2.7536501721522157e+01
    1.650000   0.17842421  1.5036679770646414e+01
    1.650000   0.24312010  7.0584920226375329e+00
    1.650000   0.30784849  3.2047047135944129e+00
    1.650000   0.37259260  1.6245755887933970e+00
    1.650000   0.43734549  1.0068541927054169e+00
    1.650000   0.50210377  7.3475613933791351e-01
    1.650000   0.56686560  5.7735224516371009e-01
    1.650000   0.63162987  4.6186823119248560e-01
    1.650000   0.69639591  3.6864131914784715e-01
    1.650000   0.76116325  2.9257918199705762e-01
    1.650000   0.82593158  2.3144240511832287e-01
    1.650000   0.89070068  1.8312739670617051e-01
    1.650000   0.95547037  1.4542956243899458e-01
    1.650000   1.02024053  1.1625877622311243e-01
    1.650000   1.08501108  9.3805622702965802e-02
    1.650000   1.14978193  7.6599669302367140e-02
    1.650000   1.21455301  6.3496829058048807e-02
    1.650000   1.27932429  5.3634906107629408e-02
    1.650000   1.34409571  4.6381661644134139e-02
    1.650000   1.40886724  4.1287432914606390e-02
    1.650000   1.47363885  3.8046999783678405e-02
    1.650000   1.53841049  3.6471751262155384e-02
    1.650000   1.60318216  3.6471751057427934e-02
    1.650000   1.66795381  3.8046999212251603e-02
    1.650000   1.73272541  4.1287432121157874e-02
    1.650000   1.79749694  4.6381660929378343e-02
    1.650000   1.86226837  5.3634906036369452e-02
    1.650000   1.92703964  6.3496830654325570e-02
    1.650000   1.99181073  7.6599674393420761e-02
    1.650000   2.05658157  9.3805634524751741e-02
    1.650000   2.12135212  1.1625880049392107e-01
    1.650000   2.18612229  1.4542960928324114e-01
    1.650000   2.25089198  1.8312748414343724e-01
    1.650000   2.31566107  2.3144256547135222e-01
    1.650000   2.38042940  2.9257947380726373e-01
    1.650000   2.44519674  3.6864184957943763e-01
    1.650000   2.50996278  4.6186919850971125e-01
    1.650000   2.57472706  5.7735401950165222e-01
    1.650000   2.63948889  7.3475941520492638e-01
    1.650000   2.70424717  1.0068602695681506e+00
    1.650000   2.76900006  1.6245868556218834e+00
    1.650000   2.83374417  3.2047253691036022e+00
    1.650000   2.89847256  7.0585287601396836e+00
    1.650000   2.96316844  1.5036741237686426e+01
    1.650000   3.02777863  2.7536594285497713e+01
    1.650000   3.09200950  3.9791154478189505e+01
    1.700000   0.04958315  1.7942995908332389e+01
    1.700000   0.11381403  1.3060907087806141e+01
    1.700000   0.17842421  7.7697003891546004e+00
    1.700000   0.24312010  4.1075360991910621e+00
    1.700000   0.30784849  2.1621706999948058e+00
    1.700000   0.37259260  1.2675570914314742e+00
    1.700000   0.43734549  8.6162333151074744e-01
    1.700000   0.50210377  6.4971665058388095e-01
    1.700000   0.56686560  5.1180568110078084e-01
    1.700000   0.63162987  4.0691703407507979e-01
    1.700000   0.69639591  3.2257129160908499e-01
    1.700000   0.76116325  2.5455828859489182e-01
    1.700000   0.82593158  2.0042959736350233e-01
    1.700000   0.89070068  1.5794515442637894e-01
    1.700000   0.95547037  1.2494707585298195e-01
    1.700000   1.02024053  9.9492236206205439e-02
    1.700000   1.08501108  7.9944382325454921e-02
    1.700000   1.14978193  6.4993116485962787e-02
    1.700000   1.21455301  5.3626531506869260e-02
    1.700000   1.27932429  4.5084779885363496e-02
    1.700000   1.34409571  3.8811437473378681e-02
    1.700000   1.40886724  3.4410826110545412e-02
    1.700000   1.47363885  3.1614257240616429e-02
    1.700000   1.53841049  3.0255599329520610e-02
    1.700000   1.60318216  3.0255599185901899e-02
    1.700000   1.66795381  3.1614256842391206e-02
    1.700000   1.73272541  3.4410825568198529e-02
    1.700000   1.79749694  3.8811437016730593e-02
    1.700000   1.86226837  4.5084779946267563e-02
    1.700000   1.92703964  5.3626532868211792e-02
    1.700000   1.99181073  6.4993120543384394e-02
    1.700000   2.05658157  7.9944391545962834e-02
    1.700000   2.12135212  9.9492254936387858e-02
    1.700000   2.18612229  1.2494711175584937e-01
    1.700000   2.25089198  1.5794522106089010e-01
    1.700000   2.31566107  2.0042971886090055e-01
    1.700000   2.38042940  2.5455850821046272e-01
    1.700000   2.44519674  3.2257168746154402e-01
    1.700000   2.50996278  4.0691774817630505e-01
    1.700000   2.57472706  5.1180697260913732e-01
    1.700000   2.63948889  6.4971899167964020e-01
    1.700000   2.70424717  8.6162757269261370e-01
    1.700000   2.76900006  1.2675647212054668e+00
    1.700000   2.83374417  2.1621841731169464e+00
    1.700000   2.89847256  4.1075590174347205e+00
    1.700000   2.96316844  7.7697369037264830e+00
    1.700000   3.02777863  1.3060959591813592e+01
    1.700000   3.09200950  1.7943061339841297e+01
    1.750000   0.04958315  8.7879143171900491e+00
    1.750000   0.11381403  6.7191166292592133e+00
    1.750000   0.17842421  4.3555175548823621e+00
    1.750000   0.24312010  2.5921595574441558e+00
    1.750000   0.30784849  1.5612630834554990e+00
    1.750000   0.37259260  1.0251731980633199e+00
    1.750000   0.43734549  7.4200870040002831e-01
    1.750000   0.50210377  5.7111164072682674e-01
    1.750000   0.56686560  4.5024073673148252e-01
    1.750000   0.63162987  3.5619814842198688e-01
    1.750000   0.69639591  2.8082062515708456e-01
    1.750000   0.76116325  2.2055815785726104e-01
    1.750000   0.82593158  1.7295263674863887e-01
    1.750000   0.89070068  1.3578595940461835e-01
    1.750000   0.95547037  1.0702321279296925e-01
    1.750000   1.02024053  8.4892888831366170e-02
    1.750000   1.08501108  6.7932170728512403e-02
    1.750000   1.14978193  5.4982076738921894e-02
    1.750000   1.21455301  4.5152594063731386e-02
    1.750000   1.27932429  3.7777111435956835e-02
    1.750000   1.34409571  3.2367881981283542e-02
    1.750000   1.40886724  2.8578024331266324e-02
    1.750000   1.47363885  2.6171858262346508e-02
    1.750000   1.53841049  2.5003571274902995e-02
    1.750000   1.60318216  2.5003571177445595e-02
    1.750000   1.66795381  2.6171857994811351e-02
    1.750000   1.73272541  2.8578023977789122e-02
    1.750000   1.79749694  3.2367881716974044e-02
    1.750000   1.86226837  3.7777111589940598e-02
    1.750000   1.92703964  4.5152595232443124e-02
    1.750000   1.99181073  5.4982079984380337e-02
    1.750000   2.05658157  6.7932177924071246e-02
    1.750000   2.12135212  8.4892903267170555e-02
    1.750000   2.18612229  1.0702324024354250e-01
    1.750000   2.25089198  1.3578601002550025e-01
    1.750000   2.31566107  1.7295272846912640e-01
    1.750000   2.38042940  2.2055832248023777e-01
    1.750000   2.44519674  2.8082091934480724e-01
    1.750000   2.50996278  3.5619867340197009e-01
    1.750000   2.57472706  4.5024167316244396e-01
    1.750000   2.63948889  5.7111330853334086e-01
    1.750000   2.70424717  7.4201165533585600e-01
    1.750000   2.76900006  1.0251783690228984e+00
    1.750000   2.83374417  1.5612719152794918e+00
    1.750000   2.89847256  2.5921740163762910e+00
    1.750000   2.96316844  4.3555396792510424e+00
    1.750000   3.02777863  6.7191472947359010e+00
    1.750000   3.09200950  8.7879515982828700e+00
    1.800000   0.04958315  4.7276864948228967e+00
    1.800000   0.11381403  3.7942642599180103e+00
    1.800000   0.17842421  2.6739927106532226e+00
    1.800000   0.24312010  1.7739553668585686e+00
    1.800000   0.30784849  1.1925565454474700e+00
    1.800000   0.37259260  8.4912385401406532e-01
    1.800000   0.43734549  6.4022576224444516e-01
    1.800000   0.50210377  4.9905428764602117e-01
    1.800000   0.56686560  3.9341401282653837e-01
    1.800000   0.63162987  3.1002402439597521e-01
    1.800000   0.69639591  2.4335023146295320e-01
    1.800000   0.76116325  1.9037238511230611e-01
    1.800000   0.82593158  1.4874974576987518e-01
    1.800000   0.89070068  1.1638494303263036e-01
    1.800000   0.95547037  9.1410094705682787e-02
    1.800000   1.02024053  7.2235163664313373e-02
    1.800000   1.08501108  5.7565058648226260e-02
    1.800000   1.14978193  4.6381543549337351e-02
    1.800000   1.21455301  3.7905756173064922e-02
    1.800000   1.27932429  3.1555307480634731e-02
    1.800000   1.34409571  2.6904222782082033e-02
    1.800000   1.40886724  2.3649444416365378e-02
    1.800000   1.47363885  2.1584933342165526e-02
    1.800000   1.53841049  2.0583131933928980e-02
    1.800000   1.60318216  2.0583131870925076e-02
    1.800000   1.66795381  2.1584933172010413e-02
    1.800000   1.73272541  2.3649444202959308e-02
    1.800000   1.79749694  2.6904222658465239e-02
    1.800000   1.86226837  3.1555307696870413e-02
    1.800000   1.92703964  3.7905757182048180e-02
    1.800000   1.99181073  4.6381546156408215e-02
    1.800000   2.05658157  5.7565064270750380e-02
    1.800000   2.12135212  7.2235174783284783e-02
    1.800000   2.18612229  9.1410115655371244e-02
    1.800000   2.25089198  1.1638498138854762e-01
    1.800000   2.31566107  1.4874981479822352e-01
    1.800000   2.38042940  1.9037250809894260e-01
    1.800000   2.44519674  2.4335044934175812e-01
    1.800000   2.50996278  3.1002440905598050e-01
    1.800000   2.57472706  3.9341468982009214e-01
    1.800000   2.63948889  4.9905547332849814e-01
    1.800000   2.70424717  6.4022781980036292e-01
    1.800000   2.76900006  8.4912736500082264e-01
    1.800000   2.83374417  1.1925623671536378e+00
    1.800000   2.89847256  1.7739645884725550e+00
    1.800000   2.96316844  2.6740063533635277e+00
    1.800000   3.02777863  3.7942826162870436e+00
    1.800000   3.09200950  4.7277083796218724e+00
    1.850000   0.04958315  2.8132756660380922e+00
    1.850000   0.11381403  2.3621906946463422e+00
    1.850000   0.17842421  1.7937249986521047e+00
    1.850000   0.24312010  1.3010906304726626e+00
    1.850000   0.30784849  9.4855402489866436e-01
    1.850000   0.37259260  7.1313590355778766e-01
    1.850000   0.43734549  5.5189548266102340e-01
    1.850000   0.50210377  4.3360089514661798e-01
    1.850000   0.56686560  3.4169498037399254e-01
    1.850000   0.63162987  2.6845572441242099e-01
    1.850000   0.69639591  2.0999383074220701e-01
    1.850000   0.76116325  1.6373739669637741e-01
    1.850000   0.82593158  1.2753720198996069e-01
    1.850000   0.89070068  9.9472619669955117e-02
    1.850000   0.95547037  7.7863911618265336e-02
    1.850000   1.02024053  6.1302092203130813e-02
    1.850000   1.08501108  4.8650201581960317e-02
    1.850000   1.14978193  3.9019014443874060e-02
    1.850000   1.21455301  3.1730095069086396e-02
    1.850000   1.27932429  2.6276605469998767e-02
    1.850000   1.34409571  2.2287805095947778e-02
    1.850000   1.40886724  1.9499781305499661e-02
    1.850000   1.47363885  1.7732974166124425e-02
    1.850000   1.53841049  1.6876142049066550e-02
    1.850000   1.60318216  1.6876142011423272e-02
    1.850000   1.66795381  1.7732974067475992e-02
    1.850000   1.73272541  1.9499781194253874e-02
    1.850000   1.79749694  2.2287805072907715e-02
    1.850000   1.86226837  2.6276605724601079e-02
    1.850000   1.92703964  3.1730095944161277e-02
    1.850000   1.99181073  3.9019016548124522e-02
    1.850000   2.05658157  4.8650205984114167e-02
    1.850000   2.12135212  6.1302100767486017e-02
    1.850000   2.18612229  7.7863927586449208e-02
    1.850000   2.25089198  9.9472648672556341e-02
    1.850000   2.31566107  1.2753725380772329e-01
    1.850000   2.38042940  1.6373748831983931e-01
    1.850000   2.44519674  2.0999399164733912e-01
    1.850000   2.50996278  2.6845600551149007e-01
    1.850000   2.57472706  3.4169546874925405e-01
    1.850000   2.63948889  4.3360173701119564e-01
    1.850000   2.70424717  5.5189691567143906e-01
    1.850000   2.76900006  7.1313829341287460e-01
    1.850000   2.83374417  9.4855788474169200e-01
    1.850000   2.89847256  1.3010965723521708e+00
    1.850000   2.96316844  1.7937335431415633e+00
    1.850000   3.02777863  2.3622019145181627e+00
    1.850000   3.09200950  2.8132888339017041e+00
    1.900000   0.04958315  1.8436115625049414e+00
    1.900000   0.11381403  1.6080879468505507e+00
    1.900000   0.17842421  1.2962632051723126e+00
    1.900000   0.24312010  1.0046404373169626e+00
    1.900000   0.30784849  7.7429941367286215e-01
    1.900000   0.37259260  6.0304813968937343e-01
    1.900000   0.43734549  4.7452394199981279e-01
    1.900000   0.50210377  3.7469589268692255e-01
    1.900000   0.56686560  2.9517243588286141e-01
    1.900000   0.63162987  2.3138287143792360e-01
    1.900000   0.69639591  1.8050613222480269e-01
    1.900000   0.76116325  1.4036128894263272e-01
    1.900000   0.82593158  1.0902725852376552e-01
    1.900000   0.89070068  8.4786439199177777e-02
    1.900000   0.95547037  6.6152538359341886e-02
    1.900000   1.02024053  5.1890352277109468e-02
    1.900000   1.08501108  4.1009128054532169e-02
    1.900000   1.14978193  3.2736541253319110e-02
    1.900000   1.21455301  2.6484185741308019e-02
    1.900000   1.27932429  2.1812588842689374e-02
    1.900000   1.34409571  1.8400144769730408e-02
    1.900000   1.40886724  1.6017741672572687e-02
    1.900000   1.47363885  1.4509366096678789e-02
    1.900000   1.53841049  1.3778293488708352e-02
    1.900000   1.60318216  1.3778293469422991e-02
    1.900000   1.66795381  1.4509366049614555e-02
    1.900000   1.73272541  1.6017741634312996e-02
    1.900000   1.79749694  1.8400144816454946e-02
    1.900000   1.86226837  2.1812589117506009e-02
    1.900000   1.92703964  2.6484186502962463e-02
    1.900000   1.99181073  3.2736542960464590e-02
    1.900000   2.05658157  4.1009131510446710e-02
    1.900000   2.12135212  5.1890358878145013e-02
    1.900000   2.18612229  6.6152550522041054e-02
    1.900000   2.25089198  8.4786461095064408e-02
    1.900000   2.31566107  1.0902729734137231e-01
    1.900000   2.38042940  1.4036135704291280e-01
    1.900000   2.44519674  1.8050625077830412e-01
    1.900000   2.50996278  2.3138307642830075e-01
    1.900000   2.57472706  2.9517278764114629e-01
    1.900000   2.63948889  3.7469649004516259e-01
    1.900000   2.70424717  4.7452494081909757e-01
    1.900000   2.76900006  6.0304977111044522e-01
    1.900000   2.83374417  7.7430198763921088e-01
    1.900000   2.89847256  1.0046443025091529e+00
    1.900000   2.96316844  1.2962686308454183e+00
    1.900000   3.02777863  1.6080949283481327e+00
    1.900000   3.09200950  1.8436196513096788e+00
    1.950000   0.04958315  1.3091551557056926e+00
    1.950000   0.11381403  1.1753439311777654e+00
    1.950000   0.17842421  9.8942824225951287e-01
    1.950000   0.24312010  8.0258002792982619e-01
    1.950000   0.30784849  6.4157569258928282e-01
    1.950000   0.37259260  5.1116189814674162e-01
    1.950000   0.43734549  4.0659460953568677e-01
    1.950000   0.50210377  3.2215695065831368e-01
    1.950000   0.56686560  2.5373738065691087e-01
    1.950000   0.63162987  1.9858293741279234e-01
    1.950000   0.69639591  1.5459701381425020e-01
    1.950000   0.76116325  1.1994318846763942e-01
    1.950000   0.82593158  9.2939502034952812e-02
    1.950000   0.89070068  7.2077718882336453e-02
    1.950000   0.95547037  5.6059856042105678e-02
    1.950000   1.02024053  4.3812937209520182e-02
    1.950000   1.08501108  3.4479298517799281e-02
    1.950000   1.14978193  2.7391510622122885e-02
    1.950000   1.21455301  2.2041321978578308e-02
    1.950000   1.27932429  1.8049002723360109e-02
    1.950000   1.34409571  1.5136453417584969e-02
    1.950000   1.40886724  1.3105368557361184e-02
    1.950000   1.47363885  1.1820586746135280e-02
    1.950000   1.53841049  1.1198246956708168e-02
    1.950000   1.60318216  1.1198246950435420e-02
    1.950000   1.66795381  1.1820586735454787e-02
    1.950000   1.73272541  1.3105368569858432e-02
    1.950000   1.79749694  1.5136453510689946e-02
    1.950000   1.86226837  1.8049003004894613e-02
    1.950000   1.92703964  2.2041322643272330e-02
    1.950000   1.99181073  2.7391512014547391e-02
    1.950000   2.05658157  3.4479301239891583e-02
    1.950000   2.12135212  4.3812942303966616e-02
    1.950000   2.18612229  5.6059865304963596e-02
    1.950000   2.25089198  7.2077735395158923e-02
    1.950000   2.31566107  9.2939531066594666e-02
    1.950000   2.38042940  1.1994323898869866e-01
    1.950000   2.44519674  1.5459710099885540e-01
    1.950000   2.50996278  1.9858308665723667e-01
    1.950000   2.57472706  2.5373763373873626e-01
    1.950000   2.63948889  3.2215737444191478e-01
    1.950000   2.70424717  4.0659530652963971e-01
    1.950000   2.76900006  5.1116301525623631e-01
    1.950000   2.83374417  6.4157741872881413e-01
    1.950000   2.89847256  8.0258256433361419e-01
    1.950000   2.96316844  9.8943172981363936e-01
    1.950000   3.02777863  1.1753483428312919e+00
    1.950000   3.09200950  1.3091602126797397e+00
    2.000000   0.04958315  9.8579754345119652e-01
    2.000000   0.11381403  9.0303653479598556e-01
    2.000000   0.17842421  7.8290533061361212e-01
    2.000000   0.24312010  6.5441483239416598e-01
    2.000000   0.30784849  5.3565881526894021e-01
    2.000000   0.37259260  4.3314327131585867e-01
    2.000000   0.43734549  3.4706449071443041e-01
    2.000000   0.50210377  2.7568686231050088e-01
    2.000000   0.56686560  2.1714720185776670e-01
    2.000000   0.63162987  1.6976470530884943e-01
    2.000000   0.69639591  1.3195546356600360e-01
    2.000000   0.76116325  1.0218597237925933e-01
    2.000000   0.82593158  7.9007728643868097e-02
    2.000000   0.89070068  6.1115447768044180e-02
    2.000000   0.95547037  4.7387842820854120e-02
    2.000000   1.02024053  3.6900211433913699e-02
    2.000000   1.08501108  2.8914487132127596e-02
    2.000000   1.14978193  2.2856562046188838e-02
    2.000000   1.21455301  1.8289104647173860e-02
    2.000000   1.27932429  1.4885105089591498e-02
    2.000000   1.34409571  1.2404820800711879e-02
    2.000000   1.40886724  1.0677108062156437e-02
    2.000000   1.47363885  9.5852003859059898e-03
    2.000000   1.53841049  9.0565916480881744e-03
    2.000000   1.60318216  9.0565916507863043e-03
    2.000000   1.66795381  9.5852004001256551e-03
    2.000000   1.73272541  1.0677108108655433e-02
    2.000000   1.79749694  1.2404820922686416e-02
    2.000000   1.86226837  1.4885105368071406e-02
    2.000000   1.92703964  1.8289105228312036e-02
    2.000000   1.99181073  2.2856563188115023e-02
    2.000000   2.05658157  2.8914489284600321e-02
    2.000000   2.12135212  3.6900215373288955e-02
    2.000000   2.18612229  4.7387849878279258e-02
    2.000000   2.25089198  6.1115460213834884e-02
    2.000000   2.31566107  7.9007750330406787e-02
    2.000000   2.38042940  1.0218600980292226e-01
    2.000000   2.44519674  1.3195552758510395e-01
    2.000000   2.50996278  1.6976481383027248e-01
    2.000000   2.57472706  2.1714738381165202e-01
    2.000000   2.63948889  2.7568716299589957e-01
    2.000000   2.70424717  3.4706497776981066e-01
    2.000000   2.76900006  4.3314403864775791e-01
    2.000000   2.83374417  5.3565997905235530e-01
    2.000000   2.89847256  6.5441651018647740e-01
    2.000000   2.96316844  7.8290759675862254e-01
    2.000000   3.02777863  9.0303936007352281e-01
    2.000000   3.09200950  9.8580075297641223e-01
    2.050000   0.04958315  7.7152013338992698e-01
    2.050000   0.11381403  7.1626716884253416e-01
    2.050000   0.17842421  6.3309677455458746e-01
    2.050000   0.24312010  5.3963455931875337e-01
    2.050000   0.30784849  4.4859848275615166e-01
    2.050000   0.37259260  3.6637710386484151e-01
    2.050000   0.43734549  2.9510461801869908e-01
    2.050000   0.50210377  2.3489902406677093e-01
    2.050000   0.56686560  1.8507483824999491e-01
    2.050000   0.63162987  1.4459977006937727e-01
    2.050000   0.69639591  1.1226611740932045e-01
    2.050000   0.76116325  8.6804392434650463e-02
    2.050000   0.82593158  6.6983813338767656e-02
    2.050000   0.89070068  5.1688027346572872e-02
    2.050000   0.95547037  3.9957202195210054e-02
    2.050000   1.02024053  3.0999911658282624e-02
    2.050000   1.08501108  2.4184398186227106e-02
    2.050000   1.14978193  1.9018951084272928e-02
    2.050000   1.21455301  1.5128630720870076e-02
    2.050000   1.27932429  1.2232733873286867e-02
    2.050000   1.34409571  1.0125197190653148e-02
    2.050000   1.40886724  8.6587348940575341e-03
    2.050000   1.47363885  7.7327486292977235e-03
    2.050000   1.53841049  7.2847193803156169e-03
